Division ID,Season,School ID,Coach ID,Points,Place,Champs,Place Winners
1,1959,1,,,,0,0
1,1963,1,66,4,,0,0
1,1964,1,66,1,,0,0
1,1965,1,66,4,28,0,1
1,1966,1,66,1,,0,0
1,1967,1,66,15,15,0,1
1,1968,1,66,19,17,1,1
1,1969,1,66,3,,0,0
2,1993,1,35,,,,4
2,1994,1,35,33.5,8,0,4
2,1995,1,35,26.5,10,0,4
2,1996,1,35,,,,2
2,1997,1,35,,,,2
2,1998,1,35,,,,2
2,1999,1,35,28.5,8,0,2
2,2001,1,1009,,,1,2
2,2002,1,1009,,,,3
2,2003,1,1009,56,6,1,4
2,2004,1,1009,47.5,9,1,3
2,2005,1,1009,45.5,10,0,4
2,2006,1,1009,52,9,0,5
1,1961,2,453,,,0,0
1,1962,2,453,11,16,0,1
1,1963,2,453,8,27,0,1
1,1964,2,453,4,,0,1
1,1965,2,453,,,0,0
1,1966,2,453,,,0,0
1,1967,2,453,18,10,1,1
1,1968,2,453,1,,0,0
1,1969,2,453,2,,0,0
1,1970,2,453,7,,0,0
1,1971,2,453,21,13,0,2
1,1972,2,453,,,0,0
1,1973,2,453,1,,0,0
1,1974,2,453,1.5,,0,0
1,1975,2,453,9,26,0,1
1,1976,2,281,,,0,0
1,1977,2,281,,,0,0
1,1979,2,281,,,0,0
1,1980,2,281,2,,0,0
1,1981,2,281,,,0,0
1,1982,2,281,,,0,0
1,1984,2,281,,,0,0
1,1985,2,281,,,0,0
1,1987,2,281,,,0,0
1,1988,2,281,,,0,0
1,1989,2,281,,,0,0
1,1990,2,281,2,,0,0
1,1991,2,281,5.5,,0,0
1,1992,2,281,1.5,,0,0
1,1993,2,281,,,0,0
1,1994,2,281,6,,0,0
1,1995,2,281,,,0,0
1,1996,2,281,,,0,0
1,1997,2,281,2,,0,0
1,1998,2,281,5,,0,0
1,1999,2,281,1,,0,0
1,2000,2,281,1,,0,0
1,2001,2,281,4,,0,0
1,2002,2,281,22.5,22,0,3
1,2003,2,281,21.5,27,0,1
1,2004,2,281,0,,0,0
1,2005,2,281,7.5,,0,0
1,2006,2,281,0,,0,0
1,2008,2,1169,5,,0,0
1,2010,2,1169,0,,0,0
1,2011,2,1169,5.5,,0,0
1,1959,3,,,,0,0
1,1965,3,,,,0,0
2,1965,3,,,,,1
2,1971,3,,,,,1
2,1974,3,,,,,2
2,1975,3,,,,,1
1,1969,4,,,,0,0
1,1970,4,,1,,0,0
1,1971,4,,,,0,0
1,1973,4,,4,,0,0
1,1974,4,,,,0,0
1,1975,4,,,,0,0
1,1976,4,,2,,0,0
1,1977,4,,3,,0,0
1,1978,4,,,,0,0
1,1979,4,,1.75,,0,0
3,1979,5,,,,,2
1,1980,5,,,,0,0
3,1980,5,,,,1,1
1,1981,5,,,,0,0
3,1981,5,,,,,1
3,1982,5,,,,,2
1,1983,5,,,,0,0
3,1983,5,,,,1,1
3,1986,5,,,,,1
3,1988,5,,,,,1
3,1990,5,,,,,2
1,1973,6,981,,,0,0
1,1979,6,981,,,0,0
1,1985,6,1125,,,0,0
1,1989,6,1079,0.5,,0,0
1,1990,6,1079,0.5,,0,0
1,1993,6,754,2.5,,0,0
1,1995,6,754,1,,0,0
1,1996,6,,,,0,0
1,1997,6,,,,0,0
1,1998,6,,1,,0,0
1,1999,6,,7.5,,0,0
1,2000,6,,1,,0,0
1,2001,6,1013,2,,0,0
1,2002,6,1013,2.5,,0,0
1,2005,6,820,12.5,,0,1
1,2006,6,820,40,17,0,2
1,2007,6,820,33,17,1,1
1,2008,6,820,22,23,0,2
1,2009,6,820,19.5,29,0,2
1,2010,6,820,38,14,0,3
1,2011,6,820,65,5,0,3
1,1939,7,,3,10,0,1
1,1940,7,,,,0,0
1,1941,7,,7,5,0,2
1,1947,7,,,,0,0
1,1972,7,759,,,0,0
1,1974,7,759,,,0,0
1,1977,7,179,1,,0,0
1,1978,7,179,,,0,0
1,1979,7,179,,,0,0
1,1980,7,179,1.75,,0,0
1,1981,7,179,2,,0,0
1,1982,7,179,,,0,0
1,1983,7,179,,,0,0
1,1984,7,179,,,0,0
1,1985,7,179,6,,0,0
1,1986,7,179,5.75,,0,0
1,1987,7,179,4.25,,0,0
1,1988,7,179,,,0,0
1,1989,7,179,3.5,,0,0
1,1990,7,179,2,,0,0
1,1991,7,179,,,0,0
1,1992,7,179,14.5,21,0,1
1,1993,7,179,5.25,,0,0
1,1994,7,179,,,0,0
1,1995,7,179,,,0,0
1,1996,7,179,3.5,,0,0
1,1997,7,179,3,,0,0
1,1998,7,179,,,0,0
1,1999,7,179,4,,0,0
1,2000,7,179,4.5,,0,0
1,2001,7,179,1.5,,0,0
1,2002,7,179,17.5,28,0,1
1,2003,7,179,12.5,,0,1
1,2005,7,179,1,,0,0
1,2007,7,179,3,,0,0
1,2008,7,179,8.5,,0,0
1,2009,7,179,0,,0,0
1,2010,7,1205,2,,0,0
1,2011,7,1205,3,,0,0
1,1963,8,615,,,0,0
1,1966,8,548,1,,0,0
1,1967,8,548,1,,0,0
1,1968,8,548,3,,0,0
1,1969,8,548,15,17,0,1
1,1970,8,548,2,,0,0
1,1971,8,548,7,25,0,1
1,1972,8,548,21.5,14,0,2
1,1973,8,548,14,16,0,1
1,1974,8,548,,,0,0
1,1975,8,548,2,,0,0
1,1976,8,548,1,,0,0
1,1977,8,548,5.5,29,0,0
1,1978,8,548,3,,0,0
1,1979,8,548,13,20,0,1
1,1980,8,548,4,,0,0
1,1981,8,548,,,0,0
1,1963,9,161,,,0,0
1,1964,9,161,4,,0,0
1,1965,9,161,30,6,0,3
1,1966,9,161,2,,0,0
1,1967,9,161,27,8,1,2
1,1968,9,161,9,28,0,1
1,1969,9,161,2,,0,0
1,1971,9,161,,,0,0
1,1972,9,178,7.5,27,0,1
1,1975,9,14,5.5,,0,0
1,1976,9,14,16.5,21,0,1
1,1977,9,14,35.25,11,0,3
1,1978,9,14,26.75,12,0,2
1,1979,9,14,34.5,8,0,5
