Wrestler ID,Division ID,School ID,Season,Weight,Place,Ordinal
1,1,98,1998,118,4,4th
1,1,98,1999,125,1,1st
1,1,98,2001,125,1,1st
1,1,98,2002,125,1,1st
2,1,121,2002,125,2,2nd
2,5,121,2002,125,2,2nd
2,5,121,2003,125,5,5th
2,5,121,2004,125,2,2nd
3,1,206,2002,125,3,3rd
3,1,206,2003,125,2,2nd
3,1,206,2006,133,2,2nd
3,5,206,2002,125,3,3rd
3,5,206,2003,125,1,1st
3,5,206,2006,133,6,6th
4,1,20,2002,125,4,4th
4,1,20,2003,125,6,6th
5,1,167,2002,125,5,5th
5,1,167,2003,125,3,3rd
5,1,167,2004,125,1,1st
5,6,167,2001,125,1,1st
5,6,167,2002,125,3,3rd
5,6,167,2003,125,3,3rd
5,6,167,2004,125,2,2nd
6,1,193,2002,125,6,6th
6,6,193,2002,125,1,1st
6,6,193,2003,125,2,2nd
7,1,70,2002,125,7,7th
7,1,70,2003,125,1,1st
7,1,70,2004,133,5,5th
7,1,70,2005,133,1,1st
7,4,70,2002,125,1,1st
7,4,70,2003,125,1,1st
7,4,70,2004,133,1,1st
7,4,70,2005,133,1,1st
8,1,175,2002,125,8,8th
9,1,91,2005,133,2,2nd
9,1,91,2006,133,3,3rd
13,1,155,1999,125,5,5th
13,1,155,2000,125,5,5th
13,1,155,2001,125,3,3rd
13,5,155,1999,125,3,3rd
13,5,155,2000,125,3,3rd
13,5,155,2001,125,2,2nd
13,5,155,2002,125,1,1st
15,1,152,2001,125,7,7th
15,5,152,2001,125,3,3rd
15,5,152,2002,125,7,7th
16,1,151,2001,125,4,4th
16,1,151,2003,125,4,4th
16,5,151,2000,125,5,5th
16,5,151,2001,125,5,5th
16,5,151,2002,125,4,4th
16,5,151,2003,125,2,2nd
24,1,134,2001,125,5,5th
24,1,134,2004,125,4,4th
24,4,134,2001,125,2,2nd
24,4,134,2002,125,2,2nd
24,4,134,2004,125,2,2nd
26,1,81,2004,125,7,7th
27,1,32,2004,133,8,8th
27,1,32,2005,133,5,5th
37,1,91,2002,133,8,8th
40,1,190,2003,157,6,6th
40,5,190,2001,149,4,4th
40,5,190,2002,149,4,4th
40,5,190,2003,157,6,6th
44,2,163,2006,165,1,1st
44,2,163,2007,165,3,3rd
44,5,155,2002,165,5,5th
45,1,192,2002,174,8,8th
45,6,192,1999,174,2,2nd
45,6,192,2002,174,2,2nd
46,1,158,2002,197,6,6th
46,1,158,2003,184,2,2nd
46,6,158,2001,285,4,4th
46,6,158,2002,197,2,2nd
46,6,158,2003,184,1,1st
47,1,155,2000,157,6,6th
47,1,155,2001,157,4,4th
47,1,155,2002,157,1,1st
47,1,155,2003,157,4,4th
47,5,155,2000,157,2,2nd
47,5,155,2001,157,2,2nd
47,5,155,2002,157,1,1st
47,5,155,2003,157,1,1st
49,1,200,2003,184,7,7th
49,5,200,2001,174,6,6th
49,5,200,2002,184,6,6th
49,5,200,2003,184,2,2nd
51,1,151,2002,157,6,6th
51,1,151,2003,157,1,1st
51,1,151,2004,157,3,3rd
51,1,151,2005,157,1,1st
51,5,151,2002,157,2,2nd
51,5,151,2003,157,3,3rd
51,5,151,2004,157,2,2nd
51,5,151,2005,157,2,2nd
52,1,137,2001,149,5,5th
52,1,137,2002,149,5,5th
52,1,200,1998,142,5,5th
52,5,200,1998,142,3,3rd
53,1,280,2002,133,4,4th
53,5,280,1999,125,6,6th
53,5,280,2001,133,2,2nd
53,5,280,2002,133,3,3rd
56,1,48,2004,165,6,6th
57,1,98,2003,197,8,8th
59,1,151,2000,285,8,8th
59,1,151,2001,285,7,7th
59,5,151,1999,285,6,6th
59,5,151,2000,285,5,5th
59,5,151,2001,285,4,4th
59,5,151,2002,285,4,4th
71,1,32,2005,125,5,5th
72,1,237,2004,197,8,8th
77,1,190,2003,165,6,6th
77,1,190,2004,165,5,5th
77,5,190,2001,165,6,6th
77,5,190,2002,165,2,2nd
77,5,190,2003,165,3,3rd
77,5,190,2004,165,2,2nd
79,1,166,2001,141,5,5th
79,1,166,2002,141,6,6th
79,4,166,2000,141,4,4th
79,4,166,2001,141,1,1st
79,4,166,2002,141,1,1st
81,1,118,2004,141,8,8th
81,5,118,2001,141,6,6th
81,5,118,2002,141,3,3rd
81,5,118,2003,141,2,2nd
81,5,118,2004,141,3,3rd
82,1,197,2002,174,4,4th
84,1,192,2001,285,4,4th
84,1,192,2004,285,3,3rd
84,6,192,2001,285,1,1st
84,6,192,2002,285,1,1st
84,6,192,2004,285,1,1st
86,1,200,2003,285,4,4th
86,1,200,2004,285,2,2nd
86,5,200,2002,285,7,7th
86,5,200,2003,285,3,3rd
86,5,200,2004,285,2,2nd
87,1,270,2003,141,6,6th
93,1,118,2005,285,3,3rd
93,5,118,2002,197,4,4th
93,5,118,2004,197,3,3rd
93,5,118,2005,285,2,2nd
96,1,48,2005,149,8,8th
96,1,48,2006,149,8,8th
98,1,9,2001,133,7,7th
98,1,9,2002,133,5,5th
99,1,151,2004,133,6,6th
99,5,151,2001,133,8,8th
99,5,151,2002,133,7,7th
99,5,151,2004,133,2,2nd
102,1,192,2001,133,3,3rd
102,1,192,2002,133,3,3rd
102,6,192,2000,133,4,4th
102,6,192,2001,133,4,4th
102,6,192,2002,133,2,2nd
102,6,192,2003,133,2,2nd
103,1,155,2001,197,3,3rd
103,1,155,2002,197,4,4th
103,5,155,2000,197,5,5th
103,5,155,2001,197,3,3rd
103,5,155,2002,197,1,1st
104,1,155,2001,141,8,8th
104,1,155,2002,141,7,7th
104,5,155,1999,141,8,8th
104,5,155,2001,141,2,2nd
104,5,155,2002,141,2,2nd
110,1,201,2003,285,7,7th
110,1,201,2004,285,5,5th
110,1,201,2005,285,6,6th
110,4,201,2002,285,4,4th
110,4,201,2003,285,1,1st
110,4,201,2004,285,1,1st
110,4,201,2005,285,1,1st
111,1,7,2002,165,5,5th
111,1,7,2003,174,7,7th
112,1,9,2003,285,5,5th
113,1,254,2004,165,8,8th
115,1,192,2001,149,4,4th
115,1,192,2002,149,2,2nd
115,6,192,1999,149,2,2nd
115,6,192,2001,149,2,2nd
115,6,192,2002,149,1,1st
117,1,2,2002,149,8,8th
118,1,202,2003,174,2,2nd
124,1,233,2004,157,1,1st
130,1,116,2004,184,6,6th
130,1,116,2005,184,3,3rd
130,5,116,2002,174,7,7th
130,5,116,2003,174,4,4th
130,5,116,2004,184,7,7th
130,5,116,2005,184,2,2nd
132,1,258,2000,141,7,7th
132,1,258,2001,141,6,6th
133,1,70,2004,197,7,7th
133,4,66,2000,197,4,4th
133,4,70,2002,197,2,2nd
133,4,70,2003,197,2,2nd
133,4,70,2004,197,1,1st
135,1,193,2004,285,7,7th
135,6,193,2002,197,4,4th
135,6,193,2003,285,1,1st
135,6,193,2004,285,2,2nd
136,1,155,2001,184,5,5th
136,1,155,2002,184,5,5th
136,1,155,2003,197,1,1st
136,1,155,2004,197,1,1st
136,5,155,2001,184,3,3rd
136,5,155,2002,184,1,1st
136,5,155,2003,197,1,1st
136,5,155,2004,197,1,1st
137,1,184,2001,184,8,8th
137,1,184,2002,184,8,8th
141,1,196,2002,165,4,4th
143,1,184,2004,174,6,6th
143,1,184,2005,174,6,6th
145,1,31,2002,141,3,3rd
146,1,183,2003,184,6,6th
146,1,183,2004,184,2,2nd
148,1,201,2002,165,7,7th
148,4,201,2001,174,5,5th
148,4,201,2002,165,1,1st
149,1,122,1999,165,3,3rd
149,1,122,2000,165,2,2nd
149,1,122,2001,165,2,2nd
149,1,122,2002,165,1,1st
149,6,122,1999,165,1,1st
149,6,122,2000,165,2,2nd
149,6,122,2001,165,1,1st
149,6,122,2002,165,1,1st
150,1,280,2001,141,4,4th
150,5,280,2000,141,6,6th
150,5,280,2001,141,4,4th
150,5,280,2002,141,7,7th
152,1,258,2006,141,8,8th
153,1,25,1999,133,7,7th
153,1,122,2002,141,1,1st
153,1,122,2003,141,7,7th
153,6,122,2002,141,1,1st
153,6,122,2003,141,4,4th
154,1,2,2002,285,8,8th
154,1,2,2003,285,2,2nd
155,1,151,1999,184,8,8th
155,1,151,2001,184,4,4th
155,1,151,2002,184,7,7th
155,5,151,1999,184,7,7th
155,5,151,2000,184,3,3rd
155,5,151,2001,184,5,5th
155,5,151,2002,184,2,2nd
159,1,184,2001,285,6,6th
159,1,184,2002,285,6,6th
161,1,110,2002,149,3,3rd
161,1,110,2003,149,3,3rd
161,1,110,2004,149,1,1st
161,4,110,2001,149,2,2nd
161,4,110,2002,149,1,1st
161,4,110,2003,149,1,1st
161,4,110,2004,149,1,1st
167,1,270,2002,174,1,1st
167,1,270,2004,184,1,1st
167,1,270,2005,184,1,1st
171,1,190,2004,184,5,5th
171,5,190,2002,184,7,7th
171,5,190,2003,174,5,5th
171,5,190,2004,184,6,6th
175,1,91,2003,165,4,4th
175,1,91,2004,165,3,3rd
178,1,91,1999,174,4,4th
178,1,91,2000,174,2,2nd
178,1,91,2001,174,1,1st
178,1,91,2002,174,3,3rd
180,1,151,2001,149,7,7th
180,5,151,2000,149,3,3rd
180,5,151,2001,149,3,3rd
180,5,151,2002,149,3,3rd
180,5,151,2003,165,6,6th
181,1,116,2001,165,3,3rd
181,1,116,2002,165,2,2nd
181,1,116,2003,165,1,1st
181,5,116,2001,165,2,2nd
181,5,116,2002,165,1,1st
181,5,116,2003,165,1,1st
182,1,192,2001,184,7,7th
182,1,192,2002,184,2,2nd
182,1,192,2003,184,3,3rd
182,6,192,2001,184,3,3rd
182,6,192,2002,184,1,1st
182,6,192,2003,184,3,3rd
183,1,206,2003,174,8,8th
183,1,206,2004,174,5,5th
183,5,206,2001,174,7,7th
183,5,206,2002,174,5,5th
183,5,206,2003,174,1,1st
183,5,206,2004,174,1,1st
185,1,9,1999,133,4,4th
185,1,9,2001,141,3,3rd
185,1,9,2002,141,2,2nd
185,1,9,2003,149,1,1st
186,1,155,2000,149,6,6th
186,1,155,2001,149,6,6th
186,1,155,2002,149,1,1st
186,1,155,2003,149,2,2nd
186,5,155,2000,149,2,2nd
186,5,155,2001,149,1,1st
186,5,155,2002,149,2,2nd
186,5,155,2003,149,1,1st
189,1,155,2002,133,2,2nd
189,1,155,2003,133,2,2nd
189,2,180,1999,125,3,3rd
189,5,155,2002,133,1,1st
189,5,155,2003,133,2,2nd
190,1,193,2001,174,5,5th
190,1,193,2002,165,3,3rd
190,1,193,2003,165,5,5th
190,1,193,2004,165,2,2nd
190,6,193,2001,174,1,1st
190,6,193,2002,165,2,2nd
190,6,193,2003,165,3,3rd
190,6,193,2004,165,1,1st
192,2,219,2006,285,3,3rd
193,1,116,2000,285,7,7th
193,1,116,2001,285,1,1st
193,1,116,2002,285,3,3rd
193,5,116,2000,285,3,3rd
193,5,116,2001,285,2,2nd
193,5,116,2002,285,6,6th
194,1,184,2003,141,2,2nd
197,1,155,2001,285,3,3rd
197,1,155,2002,285,5,5th
197,5,155,2001,285,1,1st
197,5,155,2002,285,3,3rd
197,5,155,2003,285,4,4th
199,1,122,2002,149,6,6th
199,6,122,2000,149,3,3rd
199,6,122,2001,149,3,3rd
199,6,122,2002,149,2,2nd
201,1,137,2002,141,8,8th
201,1,137,2003,141,8,8th
204,1,56,2003,133,5,5th
205,1,112,2003,149,7,7th
205,1,112,2005,149,3,3rd
205,1,112,2006,149,5,5th
209,1,152,2001,157,8,8th
209,1,152,2002,157,7,7th
209,1,152,2003,157,7,7th
209,5,152,2000,157,3,3rd
209,5,152,2001,157,4,4th
209,5,152,2002,157,4,4th
209,5,152,2003,157,2,2nd
213,1,48,2003,141,5,5th
213,1,48,2004,141,4,4th
220,1,121,2002,285,2,2nd
220,1,121,2003,285,1,1st
220,1,193,2005,285,1,1st
220,1,193,2006,285,2,2nd
220,5,121,2002,285,2,2nd
220,5,121,2003,285,1,1st
220,6,193,2005,285,1,1st
220,6,193,2006,285,1,1st
222,1,121,2002,133,6,6th
222,1,121,2003,133,6,6th
222,1,121,2004,141,1,1st
222,5,121,2002,133,5,5th
222,5,121,2003,133,1,1st
222,5,121,2004,141,1,1st
224,1,200,2003,141,4,4th
224,1,254,2004,141,3,3rd
224,5,200,2000,133,7,7th
224,5,200,2002,141,4,4th
224,5,200,2003,141,1,1st
229,1,201,2001,157,7,7th
229,1,201,2002,157,3,3rd
229,4,201,1998,142,6,6th
229,4,201,1999,157,1,1st
229,4,201,2001,157,1,1st
229,4,201,2002,157,1,1st
232,1,121,2004,174,3,3rd
232,5,121,2002,174,2,2nd
232,5,121,2003,174,2,2nd
232,5,121,2004,174,2,2nd
234,1,151,1999,174,2,2nd
234,1,151,2001,174,3,3rd
234,1,151,2002,174,5,5th
234,5,151,1999,174,3,3rd
234,5,151,2001,174,1,1st
234,5,151,2002,174,1,1st
236,1,183,2002,157,5,5th
236,1,183,2003,157,5,5th
239,1,2,2002,174,7,7th
240,1,205,2002,174,2,2nd
240,1,205,2003,184,8,8th
240,4,205,2000,165,6,6th
240,4,205,2001,174,3,3rd
240,4,205,2002,174,1,1st
240,4,205,2003,184,1,1st
241,1,192,2002,141,5,5th
241,5,200,1999,133,6,6th
241,6,192,2002,141,3,3rd
242,1,167,2005,184,6,6th
242,6,167,2002,184,3,3rd
242,6,167,2003,174,3,3rd
242,6,167,2004,184,4,4th
242,6,167,2005,184,2,2nd
245,1,184,2002,197,8,8th
246,1,191,2002,149,4,4th
246,1,191,2003,149,5,5th
246,1,191,2004,157,2,2nd
246,1,191,2005,157,3,3rd
250,1,116,2002,157,8,8th
250,5,116,1999,157,7,7th
250,5,116,2000,157,6,6th
250,5,116,2001,157,3,3rd
250,5,116,2002,157,5,5th
251,1,190,2000,197,5,5th
251,1,190,2002,197,3,3rd
251,5,190,1999,184,6,6th
251,5,190,2000,197,2,2nd
251,5,190,2001,197,5,5th
251,5,190,2002,197,2,2nd
254,1,190,2004,149,8,8th
254,5,190,2001,133,7,7th
254,5,190,2002,133,2,2nd
254,5,190,2003,141,3,3rd
254,5,190,2004,149,4,4th
255,1,110,2002,285,7,7th
255,4,110,1999,285,6,6th
255,4,110,2000,285,2,2nd
255,4,110,2001,285,1,1st
255,4,110,2002,285,1,1st
261,1,122,2002,133,7,7th
261,1,122,2003,133,4,4th
261,1,122,2004,133,1,1st
261,6,122,2001,141,3,3rd
261,6,122,2002,133,3,3rd
261,6,122,2003,133,3,3rd
261,6,122,2004,133,2,2nd
262,1,20,2003,149,6,6th
263,1,134,2000,184,5,5th
263,1,134,2002,184,1,1st
263,4,134,1999,197,5,5th
263,4,134,2000,184,1,1st
263,4,134,2001,184,2,2nd
263,4,134,2002,184,2,2nd
264,1,193,2001,157,3,3rd
264,1,193,2002,157,4,4th
264,1,193,2003,157,3,3rd
264,6,193,2000,157,4,4th
264,6,193,2001,157,3,3rd
264,6,193,2002,157,2,2nd
264,6,193,2003,157,1,1st
266,1,190,2001,285,2,2nd
266,1,190,2002,285,1,1st
266,1,190,2003,285,6,6th
266,1,190,2004,285,1,1st
266,5,190,2001,285,3,3rd
266,5,190,2002,285,1,1st
266,5,190,2003,285,2,2nd
266,5,190,2004,285,1,1st
269,1,167,2002,197,5,5th
269,1,167,2003,197,5,5th
269,6,167,2003,197,2,2nd
271,1,20,2003,285,3,3rd
273,1,193,2003,149,4,4th
273,6,193,2002,149,4,4th
273,6,193,2003,149,1,1st
274,1,122,1999,184,1,1st
274,1,122,2000,184,1,1st
274,1,122,2001,184,1,1st
274,1,122,2002,197,1,1st
274,6,122,1999,184,1,1st
274,6,122,2000,184,1,1st
274,6,122,2001,184,1,1st
274,6,122,2002,197,1,1st
278,1,190,1999,133,8,8th
278,1,190,2001,141,7,7th
278,1,190,2002,141,4,4th
278,5,190,1999,133,4,4th
278,5,190,2001,141,3,3rd
278,5,190,2002,141,5,5th
279,1,167,2004,149,7,7th
279,6,167,2002,149,3,3rd
279,6,167,2003,149,2,2nd
279,6,167,2004,149,2,2nd
279,6,167,2005,149,4,4th
280,1,91,2001,197,6,6th
282,1,10,2003,141,3,3rd
282,1,10,2004,157,8,8th
282,1,10,2005,149,2,2nd
282,4,10,2002,141,2,2nd
282,4,10,2003,141,1,1st
282,4,10,2004,157,1,1st
282,4,10,2005,149,1,1st
283,1,112,2003,197,6,6th
283,1,112,2004,197,5,5th
286,1,121,2002,184,3,3rd
286,1,121,2003,184,4,4th
286,5,121,2000,184,7,7th
286,5,121,2001,184,4,4th
286,5,121,2002,184,3,3rd
286,5,121,2003,184,1,1st
287,1,151,2002,197,7,7th
287,1,151,2003,197,7,7th
287,5,151,2002,197,3,3rd
287,5,151,2003,197,3,3rd
288,1,167,1999,157,4,4th
288,1,167,2000,157,5,5th
288,1,167,2001,157,2,2nd
288,1,167,2002,157,2,2nd
288,6,167,1999,157,1,1st
288,6,167,2000,157,1,1st
288,6,167,2001,157,1,1st
288,6,167,2002,157,1,1st
289,1,175,2003,133,7,7th
289,1,175,2005,133,6,6th
291,1,201,2000,174,5,5th
291,1,201,2002,174,6,6th
291,4,201,1998,158,2,2nd
291,4,201,1999,165,2,2nd
291,4,201,2000,174,1,1st
291,4,201,2002,174,2,2nd
292,1,70,2001,174,7,7th
292,4,70,2001,174,2,2nd
292,4,70,2002,174,3,3rd
297,1,118,1999,184,6,6th
297,1,118,2001,184,3,3rd
297,5,118,1999,184,3,3rd
297,5,118,2000,197,3,3rd
297,5,118,2001,184,2,2nd
297,5,118,2002,184,4,4th
298,1,211,2002,184,4,4th
298,4,211,2000,184,3,3rd
298,4,211,2001,184,1,1st
298,4,211,2002,184,3,3rd
300,1,56,2003,285,8,8th
302,1,193,2001,133,2,2nd
302,1,193,2002,133,1,1st
302,1,193,2003,133,1,1st
302,1,193,2004,133,3,3rd
302,6,193,2001,133,1,1st
302,6,193,2002,133,1,1st
302,6,193,2003,133,1,1st
302,6,193,2004,133,1,1st
305,1,134,2002,197,2,2nd
305,1,134,2003,197,2,2nd
305,1,134,2005,197,3,3rd
305,4,134,2002,197,1,1st
305,4,134,2003,197,1,1st
305,4,134,2005,197,1,1st
306,1,200,2002,165,8,8th
306,5,200,2002,165,3,3rd
306,5,200,2003,165,4,4th
307,1,206,2001,285,8,8th
307,1,206,2002,285,4,4th
307,5,206,2000,285,7,7th
307,5,206,2001,285,6,6th
307,5,206,2002,285,5,5th
309,1,134,2001,165,7,7th
309,4,134,2000,157,3,3rd
309,4,134,2001,165,3,3rd
309,4,134,2002,165,2,2nd
310,1,155,2001,174,4,4th
310,1,155,2003,165,3,3rd
310,1,155,2004,165,4,4th
310,5,155,2001,174,4,4th
310,5,155,2002,174,3,3rd
310,5,155,2003,165,2,2nd
310,5,155,2004,165,1,1st
312,1,192,2002,165,6,6th
312,1,192,2003,174,1,1st
312,6,192,2000,165,3,3rd
312,6,192,2001,165,2,2nd
