Division ID,Season,Weight,Place,Wrestler ID,School ID
1,1928,115,1,9148,193
1,1928,115,2,9120,192
1,1928,115,3,8960,122
1,1928,125,1,9097,187
1,1928,125,2,9011,151
1,1928,125,3,8973,297
1,1928,135,1,8961,122
1,1928,135,2,9177,193
1,1928,135,3,9021,151
1,1928,145,1,9147,193
1,1928,145,2,8942,118
1,1928,145,3,9425,297
1,1928,158,1,8946,121
1,1928,158,2,9008,151
1,1928,158,3,8954,122
1,1928,175,1,9187,193
1,1928,175,2,9257,299
1,1928,175,3,9102,190
1,1928,UNL,1,9170,193
1,1928,UNL,2,8918,116
1,1928,UNL,3,8971,297
1,1929,115,1,8911,116
1,1929,115,2,9120,192
1,1929,115,3,9189,193
1,1929,125,1,9122,192
1,1929,125,2,9011,151
1,1929,125,3,9158,193
1,1929,135,1,8906,116
1,1929,135,2,9126,192
1,1929,135,3,9269,270
1,1929,145,1,9140,193
1,1929,145,2,9013,151
1,1929,145,3,8952,121
1,1929,155,1,9199,193
1,1929,155,2,9019,151
1,1929,155,3,9272,280
1,1929,165,1,9144,193
1,1929,165,2,9226,206
1,1929,165,3,9023,151
1,1929,175,1,8859,70
1,1929,175,2,9009,151
1,1929,175,3,9273,280
1,1929,UNL,1,9170,193
1,1929,UNL,2,9275,280
1,1929,UNL,3,9101,190
1,1930,115,1,8911,116
1,1930,115,2,9053,159
1,1930,115,3,9120,192
1,1930,125,1,9122,192
1,1930,125,2,8868,71
1,1930,125,3,9146,193
1,1930,135,1,8783,122
1,1930,135,2,8888,116
1,1930,135,3,9192,193
1,1930,145,1,9121,192
1,1930,145,2,9197,193
1,1930,145,3,8849,53
1,1930,155,1,9013,151
1,1930,155,2,8848,295
1,1930,155,3,9106,192
1,1930,165,1,9199,193
1,1930,165,2,8970,297
1,1930,165,3,8884,110
1,1930,175,1,9144,193
1,1930,175,2,9102,190
1,1930,175,3,9052,158
1,1930,UNL,1,9170,193
1,1930,UNL,2,8890,116
1,1930,UNL,3,8976,127
1,1931,118,1,8991,134
1,1931,118,2,9070,184
1,1931,118,3,9157,193
1,1931,126,1,9180,193
1,1931,126,2,8868,71
1,1931,126,3,8977,127
1,1931,135,1,8956,122
1,1931,135,2,9149,193
1,1931,135,3,9027,152
1,1931,145,1,8975,127
1,1931,145,2,8967,122
1,1931,145,3,9204,193
1,1931,155,1,9173,193
1,1931,155,2,8982,127
1,1931,155,3,9091,184
1,1931,165,1,9199,193
1,1931,165,2,8959,122
1,1931,165,3,9000,134
1,1931,175,1,9144,193
1,1931,175,2,9009,151
1,1931,175,3,9942,187
1,1931,UNL,1,9098,187
1,1931,UNL,2,8885,296
1,1931,UNL,3,8976,127
1,1932,123,1,8909,116
1,1932,123,2,9180,193
1,1932,123,3,10362,152
1,1932,134,1,8923,118
1,1932,134,2,9184,193
1,1932,134,3,8868,71
1,1932,145,1,9121,192
1,1932,145,2,8931,118
1,1932,145,3,9928,184
1,1932,158,1,9009,151
1,1932,158,2,9057,166
1,1932,158,3,8965,122
1,1932,174,1,8959,122
1,1932,174,2,9173,193
1,1932,174,3,8939,118
1,1932,191,1,9105,191
1,1932,191,2,9251,298
1,1932,191,3,8935,118
1,1932,UNL,1,9098,187
1,1932,UNL,2,8972,297
1,1932,UNL,3,9073,184
1,1933,118,1,9181,193
1,1933,118,2,8909,116
1,1933,118,3,8997,134
1,1933,126,1,9153,193
1,1933,126,2,8895,116
1,1933,126,3,8926,118
1,1933,135,1,8928,118
1,1933,135,2,8879,97
1,1933,135,3,8882,110
1,1933,145,1,9162,193
1,1933,145,2,9249,298
1,1933,145,3,8931,118
1,1933,155,1,8958,122
1,1933,155,2,9260,256
1,1933,155,3,8994,134
1,1933,165,1,8965,122
1,1933,165,2,8998,134
1,1933,165,3,9237,298
1,1933,175,1,8959,122
1,1933,175,2,8944,118
1,1933,175,3,9151,193
1,1933,UNL,1,9251,298
1,1933,UNL,2,8935,118
1,1933,UNL,3,8945,120
1,1934,118,1,9181,193
1,1934,118,2,9087,184
1,1934,118,3,8924,118
1,1934,126,1,9153,193
1,1934,126,2,8926,118
1,1934,126,3,9248,298
1,1934,135,1,9124,192
1,1934,135,2,9252,229
1,1934,135,3,8928,118
1,1934,145,1,9162,193
1,1934,145,2,9016,151
1,1934,145,3,9262,300
1,1934,155,1,8989,134
1,1934,155,2,9166,193
1,1934,155,3,9249,298
1,1934,165,1,9115,192
1,1934,165,2,9237,298
1,1934,165,3,8863,71
1,1934,175,1,8944,118
1,1934,175,2,8845,295
1,1934,175,3,9151,193
1,1934,UNL,1,9251,298
1,1934,UNL,2,8936,118
1,1934,UNL,3,8893,116
1,1935,118,1,9181,193
1,1935,118,2,8929,118
1,1935,118,3,8902,116
1,1935,126,1,9153,193
1,1935,126,2,9239,298
1,1935,126,3,8907,116
1,1935,135,1,9131,192
1,1935,135,2,9184,193
1,1935,135,3,9240,298
1,1935,145,1,9124,192
1,1935,145,2,8846,295
1,1935,145,3,8905,116
1,1935,155,1,9166,193
1,1935,155,2,8867,71
1,1935,155,3,9118,192
1,1935,165,1,9212,200
1,1935,165,2,8949,121
1,1935,165,3,9129,192
1,1935,175,1,8915,116
1,1935,175,2,9185,193
1,1935,175,3,9245,298
1,1935,UNL,1,8937,118
1,1935,UNL,2,8999,134
1,1935,UNL,3,9261,300
1,1936,123,1,8843,295
1,1936,123,2,8929,118
1,1936,123,3,9125,192
1,1936,123,4,9247,298
1,1936,134,1,9124,192
1,1936,134,2,8861,71
1,1936,134,3,9022,151
1,1936,134,4,9240,298
1,1936,145,1,9193,193
1,1936,145,2,9241,298
1,1936,145,3,8948,121
1,1936,145,4,9118,192
1,1936,158,1,9032,152
1,1936,158,2,9119,192
1,1936,158,3,8949,121
1,1936,158,4,8990,134
1,1936,174,1,9109,192
1,1936,174,2,9061,166
1,1936,174,3,9143,193
1,1936,174,4,9244,298
1,1936,191,1,8844,295
1,1936,191,2,8937,118
1,1936,191,3,9168,193
1,1936,191,4,9255,244
1,1936,UNL,1,8999,134
1,1936,UNL,2,9261,300
1,1936,UNL,3,9151,193
1,1937,118,1,9171,193
1,1937,118,2,9088,184
1,1937,118,3,9112,192
1,1937,126,1,8861,71
1,1937,126,2,8843,295
1,1937,126,3,9125,192
1,1937,135,1,9072,184
1,1937,135,2,9179,193
1,1937,135,3,8847,295
1,1937,145,1,9156,193
1,1937,145,2,8905,116
1,1937,145,3,9113,192
1,1937,155,1,9119,192
1,1937,155,2,8978,127
1,1937,155,3,9188,193
1,1937,165,1,9141,193
1,1937,165,2,9136,192
1,1937,165,3,8957,122
1,1937,175,1,9051,155
1,1937,175,2,8899,116
1,1937,175,3,9168,193
1,1937,UNL,1,9185,193
1,1937,UNL,2,8933,118
1,1937,UNL,3,9044,155
1,1938,118,1,9171,193
1,1938,118,2,8929,118
1,1938,118,3,9088,184
1,1938,126,1,8910,116
1,1938,126,2,8869,71
1,1938,126,3,9134,192
1,1938,135,1,9125,192
1,1938,135,2,8894,116
1,1938,135,3,9179,193
1,1938,145,1,9156,193
1,1938,145,2,8850,53
1,1938,145,3,10152,122
1,1938,155,1,9188,193
1,1938,155,2,9242,298
1,1938,155,3,8964,122
1,1938,165,1,8899,116
1,1938,165,2,8992,134
1,1938,165,3,8842,292
1,1938,175,1,8881,110
1,1938,175,2,9246,298
1,1938,175,3,8943,118
1,1938,UNL,1,8937,118
1,1938,UNL,2,9044,155
1,1938,UNL,3,9243,298
1,1939,121,1,9171,193
1,1939,121,2,8877,97
1,1939,121,3,8835,7
1,1939,128,1,9045,155
1,1939,128,2,9186,193
1,1939,128,3,8908,116
1,1939,136,1,8894,116
1,1939,136,2,8941,118
1,1939,136,3,9042,155
1,1939,145,1,9018,151
1,1939,145,2,9219,200
1,1939,145,3,9167,193
1,1939,155,1,9156,193
1,1939,155,2,9005,151
1,1939,155,3,8993,134
1,1939,165,1,8996,134
1,1939,165,2,9178,193
1,1939,165,3,9207,200
1,1939,175,1,8943,118
1,1939,175,2,8842,292
1,1939,175,3,9203,193
1,1939,UNL,1,9155,193
1,1939,UNL,2,8914,116
1,1939,UNL,3,8984,128
1,1940,121,1,8921,118
1,1940,121,2,9175,193
1,1940,121,3,9078,184
1,1940,128,1,9111,192
1,1940,128,2,9045,155
1,1940,128,3,9164,193
1,1940,136,1,9202,193
1,1940,136,2,9077,184
1,1940,136,3,8941,118
1,1940,145,1,8995,134
1,1940,145,2,9005,151
1,1940,145,3,8880,97
1,1940,155,1,9167,193
1,1940,155,2,8957,122
1,1940,155,3,9007,151
1,1940,165,1,8852,65
1,1940,165,2,9137,193
1,1940,165,3,8938,118
1,1940,175,1,9017,151
1,1940,175,2,8934,118
1,1940,175,3,8981,127
1,1940,UNL,1,9100,190
1,1940,UNL,2,9145,193
1,1940,UNL,3,8914,116
1,1941,121,1,9034,152
1,1941,121,2,9175,193
1,1941,121,3,8966,121
1,1941,121,4,8835,7
1,1941,128,1,9033,152
1,1941,128,2,8987,128
1,1941,128,3,9194,193
1,1941,128,4,8962,121
1,1941,136,1,9202,193
1,1941,136,2,9038,152
1,1941,136,3,9210,200
1,1941,136,4,9277,289
1,1941,145,1,9139,193
1,1941,145,2,9076,184
1,1941,145,3,8880,97
1,1941,145,4,9046,155
1,1941,155,1,9198,193
1,1941,155,2,8980,127
1,1941,155,3,8912,116
1,1941,155,4,9256,244
1,1941,165,1,9190,193
1,1941,165,2,9274,280
1,1941,165,3,9031,152
1,1941,165,4,8963,122
1,1941,175,1,9220,201
1,1941,175,2,8834,7
1,1941,175,3,9010,151
1,1941,175,4,9271,280
1,1941,UNL,1,9049,155
1,1941,UNL,2,9279,289
1,1941,UNL,3,9138,193
1,1941,UNL,4,8988,132
1,1942,121,1,9034,152
1,1942,121,2,9227,206
1,1942,121,3,9216,200
1,1942,121,4,9014,151
1,1942,128,1,9033,152
1,1942,128,2,9169,193
1,1942,128,3,9211,200
1,1942,128,4,9228,206
1,1942,136,1,9038,152
1,1942,136,2,8860,71
1,1942,136,3,9194,193
1,1942,136,4,9223,205
1,1942,145,1,9139,193
1,1942,145,2,9012,151
1,1942,145,3,9206,200
1,1942,145,4,9063,167
1,1942,155,1,9167,193
1,1942,155,2,8912,116
1,1942,155,3,9040,152
1,1942,155,4,9054,166
1,1942,165,1,9190,193
1,1942,165,2,9055,166
1,1942,165,3,9006,151
1,1942,165,4,8983,128
1,1942,175,1,9220,201
1,1942,175,2,9734,184
1,1942,175,3,8974,127
1,1942,175,4,8889,116
1,1942,UNL,1,9138,193
1,1942,UNL,2,8986,128
1,1942,UNL,3,9232,206
1,1942,UNL,4,9059,166
1,1946,121,1,9086,184
1,1946,121,2,8940,118
1,1946,121,3,8916,116
1,1946,121,4,9029,152
1,1946,128,1,9081,184
1,1946,128,2,8901,116
1,1946,128,3,9211,200
1,1946,128,4,9036,152
1,1946,136,1,9139,193
1,1946,136,2,9071,184
1,1946,136,3,9569,118
1,1946,136,4,9058,151
1,1946,145,1,9080,184
1,1946,145,2,9201,193
1,1946,145,3,9041,152
1,1946,145,4,9067,182
1,1946,155,1,9006,151
1,1946,155,2,9191,193
1,1946,155,3,9568,122
1,1946,155,4,8904,116
1,1946,165,1,8913,116
1,1946,165,2,9200,193
