Season,Weight,Bracket,Round,Winner,Loser,Score,Decision Type
1928,115,0,15,9120,8960,Med FFT,3
1928,115,1,3,9120,9417,Fall 6:10,2
1928,115,1,4,8960,9421,TA 6:02,1
1928,115,1,4,9148,9120,TA 2:30,1
1928,115,1,5,9148,8960,TA 3:10,1
1928,125,0,11,9011,9418,TA 8:48,1
1928,125,0,15,9011,8973,TA 1:40,1
1928,125,1,3,8973,9122,TA 0:06 OT,1
1928,125,1,3,9011,9420,TA 8:23,1
1928,125,1,3,9097,9418,TA 7:11,1
1928,125,1,3,9158,9419,TA 5:25,1
1928,125,1,4,8973,9158,TA 2:52 OT,1
1928,125,1,4,9097,9011,TA 2:11,1
1928,125,1,5,9097,8973,TA 3:40,1
1928,135,0,15,9177,9021,Fall 8:15,2
1928,135,1,3,9021,9424,TA 2:09 OT,1
1928,135,1,3,9177,9423,Fall 9:50,2
1928,135,1,4,8961,9021,TA 2:13 OT,1
1928,135,1,4,9177,9422,Fall 9:40,2
1928,135,1,5,8961,9177,TA 1:36,1
1928,145,0,11,8891,9427,DFT,3
1928,145,0,12,9425,8891,Dec,1
1928,145,0,15,8942,8891,Fall 5:10,2
1928,145,1,3,9147,8891,Fall 9:50,2
1928,145,1,3,9425,8867,TA 1:30 OT,1
1928,145,1,3,9427,9426,TA 1:36,1
1928,145,1,4,8942,9425,TA 2:15 OT,1
1928,145,1,4,9147,9427,TA 3:53,1
1928,145,1,5,9147,8942,TA 1:39,1
1928,158,0,15,9008,8954,Med FFT,3
1928,158,1,3,8946,10555,DFT,3
1928,158,1,4,8946,9008,TA 2:16,1
1928,158,1,4,8954,9432,TA 2:08,1
1928,158,1,5,8946,8954,Fall 9:05,2
1928,175,0,11,9102,9430,TA 5:20,1
1928,175,0,12,9102,9429,Med FFT,3
1928,175,0,15,9257,9102,TA 5:59,1
1928,175,1,3,9187,9430,Fall,2
1928,175,1,3,9429,9428,TA 3:28 OT,1
1928,175,1,4,9187,9102,Dec,1
1928,175,1,4,9257,9429,Fall 2:15,2
1928,175,1,5,9187,9257,TA 5:21,1
1928,UNL,0,15,8918,8971,Fall 1:59,2
1928,UNL,1,4,8971,9431,TA 2:57,1
1928,UNL,1,4,9170,8918,Fall 2:15,2
1928,UNL,1,5,9170,8971,Fall 0:19,2
1929,115,0,15,9120,9189,,1
1929,115,1,4,8911,9120,TA 2:56,1
1929,115,1,5,8911,9189,TA 5:57,1
1929,125,0,10,10502,10501,,1
1929,125,0,11,9011,10502,,1
1929,125,0,15,9011,9158,,1
1929,125,1,2,8956,10500,TA 8:30,1
1929,125,1,2,9011,10504,TA 7:38,1
1929,125,1,2,9097,10499,TA 2:37,1
1929,125,1,2,9122,10501,TA 8:50,1
1929,125,1,2,9158,10376,TA 5:16,1
1929,125,1,2,10502,10503,TA 7:55,1
1929,125,1,3,8956,9097,TA 1:45,1
1929,125,1,3,9011,10507,DFT,3
1929,125,1,3,9122,10502,TA 2:04,1
1929,125,1,3,9158,10505,Fall 5:39,2
1929,125,1,4,9122,9011,TA 2:31,1
1929,125,1,4,9158,8956,TA 1:45,1
1929,125,1,5,9122,9158,TA 3:59,1
1929,135,0,10,10498,10509,,1
1929,135,0,11,9126,10498,,1
1929,135,0,15,9126,9269,,1
1929,135,1,2,8906,10498,TA 7:04,1
1929,135,1,2,9269,9204,TA 3:40,1
1929,135,1,3,8906,10509,TA 8:44,1
1929,135,1,3,9126,10508,Fall 5:34,2
1929,135,1,3,9269,10506,Fall 8:20,2
1929,135,1,3,10511,10510,TA 1:22,1
1929,135,1,4,8906,9126,Fall 1:38,2
1929,135,1,4,9269,10511,TA OT 0:32,1
1929,135,1,5,8906,9269,TA 6:48,1
1929,145,0,11,8952,10512,,1
1929,145,0,11,10465,10551,,1
1929,145,0,12,8952,10465,,1
1929,145,0,15,9013,8952,,1
1929,145,1,2,8952,10497,TA 9:00,1
1929,145,1,3,8952,8849,TA 8:07,1
1929,145,1,3,9013,10551,Fall 1:41,2
1929,145,1,3,9140,10512,Dec,1
1929,145,1,3,10465,10513,TA OT 0:47,1
1929,145,1,4,9013,10465,TA 5:11,1
1929,145,1,4,9140,8952,TA 2:25,1
1929,145,1,5,9140,9013,TA 3:03,1
1929,155,0,15,9019,9272,,1
1929,155,1,3,9019,10495,DFT,3
1929,155,1,3,9272,10496,Fall 4:31,2
1929,155,1,4,9199,9019,TA 4:02,1
1929,155,1,4,9272,10468,Fall 6:32,2
1929,155,1,5,9199,9272,TA 4:32,1
1929,165,0,11,9226,10493,,1
1929,165,0,15,9226,9023,TA 9:30,1
1929,165,1,2,10552,10553,Fall 2:31,2
1929,165,1,3,9023,10491,Fall 8:20,2
1929,165,1,3,9144,9226,TA 4:30,1
1929,165,1,3,10492,10552,Fall 7:40,2
1929,165,1,3,10493,10494,TA 6:40,1
1929,165,1,4,9023,10492,TA 4:00,1
1929,165,1,4,9144,10493,TA 2:45,1
1929,165,1,5,9144,9023,TA 1:32,1
1929,175,0,12,9273,10549,,1
1929,175,0,15,9009,9273,RD,1
1929,175,1,4,8859,9273,TA 6:43,1
1929,175,1,4,9009,10549,TA 6:33,1
1929,175,1,5,8859,9009,TA 4:08,1
1929,UNL,0,11,9275,10547,,1
1929,UNL,0,15,9275,9101,,1
1929,UNL,1,3,9101,10481,Fall 6:12,2
1929,UNL,1,3,9170,9275,TA 7:17,1
1929,UNL,1,4,9101,10548,Fall 8:45,2
1929,UNL,1,4,9170,10547,Fall 2:06,2
1929,UNL,1,5,9170,9101,Fall 1:25,2
1930,115,0,11,9053,10448,,1
1930,115,0,15,9053,9120,Med FFT,3
1930,115,1,3,8911,10448,TA 9:03,1
1930,115,1,3,9053,10464,TA 6:15,1
