Season,Weight,Wrestler Number,Bracket Position,Consolation Position,Seed,Place
1928,115,9148,1,,,1
1928,115,9120,9,,,2
1928,115,9417,13,,,
1928,115,8960,17,,,3
1928,115,9421,25,,,
1928,125,9097,1,,,1
1928,125,9418,5,,,
1928,125,9011,9,,,2
1928,125,9420,13,,,
1928,125,8973,17,,,3
1928,125,9122,21,,,
1928,125,9158,25,,,
1928,125,9419,29,,,
1928,135,9177,1,,,2
1928,135,9423,5,,,
1928,135,9422,9,,,
1928,135,9021,17,,,3
1928,135,9424,21,,,
1928,135,8961,25,,,1
1928,145,9147,1,,,1
1928,145,8891,5,,,3
1928,145,9427,9,,,
1928,145,9426,13,,,
1928,145,9425,17,,,
1928,145,8867,21,,,
1928,145,8942,25,,,2
1928,158,8946,1,,,1
1928,158,10555,5,,,
1928,158,9008,9,,,2
1928,158,9426,13,,,
1928,158,8954,17,,,3
1928,158,9432,25,,,
1928,175,9187,1,,,1
1928,175,9430,5,,,
1928,175,9102,9,,,3
1928,175,9429,17,,,
1928,175,9428,21,,,
1928,175,9257,25,,,2
1928,UNL,9170,1,,,1
1928,UNL,8918,9,,,2
1928,UNL,8971,17,,,3
1928,UNL,9431,25,,,
1929,115,8911,1,,,1
1929,115,9120,9,,,2
1929,115,9189,17,,,3
1929,125,10505,1,,,
1929,125,9158,5,,,3
1929,125,10376,7,,,
1929,125,9097,9,,,
1929,125,10499,11,,,
1929,125,10500,13,,,
1929,125,8956,15,,,
1929,125,9122,17,,,1
1929,125,10501,19,,,
1929,125,10503,21,,,
1929,125,10502,23,,,
1929,125,9011,25,,,2
1929,125,10504,27,,,
1929,125,10507,29,,,
1929,135,9126,1,,,2
1929,135,10508,5,,,
1929,135,8906,9,,,1
1929,135,10498,11,,,
1929,135,10509,13,,,
1929,135,9269,17,,,3
1929,135,9204,19,,,
1929,135,10506,21,,,
1929,135,10511,25,,,
1929,135,10510,29,,,
1929,145,9140,1,,,1
1929,145,10512,5,,,
1929,145,8952,9,,,3
1929,145,10497,11,,,
1929,145,8849,13,,,
1929,145,10465,17,,,
1929,145,10513,21,,,
1929,145,9013,25,,,2
1929,145,10551,29,,,
1929,155,9199,1,,,1
1929,155,9019,9,,,2
1929,155,10495,13,,,
1929,155,9272,17,,,3
1929,155,10496,21,,,
1929,155,10468,29,,,
1929,165,10491,1,,,
1929,165,9023,5,,,3
1929,165,10492,9,,,
1929,165,10552,13,,,
1929,165,10553,15,,,
1929,165,9226,17,,,2
1929,165,9144,21,,,1
1929,165,10494,25,,,
1929,165,10493,29,,,
1929,175,9009,1,,,2
1929,175,10549,9,,,
1929,175,8859,17,,,1
1929,175,9273,25,,,3
1929,UNL,10547,1,,,
1929,UNL,9170,9,,,1
1929,UNL,9275,13,,,2
1929,UNL,9101,17,,,3
1929,UNL,10481,21,,,
1929,UNL,10548,25,,,
1930,115,8911,1,,,1
1930,115,10448,5,,,
1930,115,9053,9,,,2
1930,115,10464,13,,,
1930,115,9180,17,,,
1930,115,10446,21,,,
1930,115,9120,25,,,3
1930,115,10447,29,,,
1930,125,9122,1,,,1
1930,125,9146,5,,,3
1930,125,10449,9,,,
1930,125,10377,13,,,
1930,125,10450,17,,,
1930,125,10376,21,,,
1930,125,8868,25,,,2
1930,125,10451,29,,,
1930,135,8783,1,,,1
1930,135,10452,3,,,
1930,135,10429,5,,,
1930,135,10453,7,,,
1930,135,8977,9,,,
1930,135,8923,13,,,
1930,135,9192,17,,,3
1930,135,10454,19,,,
1930,135,8888,21,,,2
1930,135,10455,25,,,
1930,135,10384,29,,,
1930,145,9121,1,,,1
1930,145,9197,3,,,2
1930,145,8891,5,,,
1930,145,8956,9,,,
1930,145,10456,11,,,
1930,145,10386,13,,,
1930,145,10457,15,,,
1930,145,10391,17,,,
1930,145,10465,21,,,
1930,145,8849,25,,,3
1930,145,10458,27,,,
1930,145,10365,29,,,
1930,145,10459,31,,,
1930,155,9013,1,,,1
1930,155,10468,5,,,
1930,155,10469,9,,,
1930,155,8848,13,,,2
1930,155,10466,15,,,
1930,155,10372,17,,,
1930,155,10467,21,,,
1930,155,9106,25,,,3
1930,155,9173,29,,,
1930,165,10461,1,,,
1930,165,10422,5,,,
1930,165,9199,9,,,1
1930,165,8884,13,,,3
1930,165,10439,17,,,
1930,165,10460,19,,,
1930,165,10463,21,,,
1930,165,8970,25,,,2
1930,165,10462,29,,,
1930,175,10441,1,,,
1930,175,10471,3,,,
1930,175,10470,5,,,
1930,175,10476,7,,,
1930,175,9144,9,,,1
1930,175,9102,13,,,2
1930,175,9052,17,,,3
1930,175,10473,19,,,
1930,175,10474,21,,,
1930,175,10475,23,,,
1930,175,10477,25,,,
1930,175,10478,29,,,
1930,UNL,8890,1,,,2
1930,UNL,10479,5,,,
1930,UNL,9101,9,,,
1930,UNL,10481,13,,,
1930,UNL,9170,17,,,1
1930,UNL,10480,21,,,
1930,UNL,8976,25,,,3
1930,UNL,10482,29,,,
1931,118,8991,1,,,1
1931,118,9157,5,,,3
1931,118,10362,9,,,
1931,118,10363,13,,,
1931,118,10360,17,,,
1931,118,10361,21,,,
1931,118,9070,25,,,2
1931,118,10364,29,,,
1931,126,9180,1,,,1
1931,126,8977,9,,,3
1931,126,10376,13,,,
1931,126,8868,17,,,2
1931,126,10377,25,,,
1931,135,8956,1,,,1
1931,135,10378,3,,,
1931,135,9027,5,,,3
1931,135,10379,7,,,
1931,135,9424,9,,,
1931,135,10381,13,,,
1931,135,9149,17,,,2
1931,135,10380,19,,,
1931,135,10383,21,,,
1931,135,10385,25,,,
1931,135,10384,29,,,
1931,145,9204,1,,,3
1931,145,8849,3,,,
1931,145,10386,5,,,
1931,145,10387,7,,,
1931,145,10391,9,,,
1931,145,10390,13,,,
1931,145,8967,17,,,2
1931,145,10388,19,,,
1931,145,8975,21,,,1
1931,145,10389,23,,,
1931,145,10392,25,,,
1931,145,10393,29,,,
1931,155,9173,1,,,1
1931,155,10375,3,,,
1931,155,10369,5,,,
1931,155,10374,7,,,
1931,155,9057,9,,,
1931,155,10370,13,,,
1931,155,8982,17,,,2
1931,155,9091,21,,,3
1931,155,10365,25,,,
1931,155,10367,27,,,
1931,155,10366,29,,,
1931,155,10368,31,,,
1931,165,9199,1,,,1
1931,165,10372,5,,,
1931,165,8959,9,,,2
1931,165,9931,13,,,
1931,165,9000,17,,,3
1931,165,10371,25,,,
1931,165,9932,29,,,
1931,175,9144,1,,,1
1931,175,10373,9,,,
1931,175,9009,17,,,2
1931,175,9942,25,,,3
1931,UNL,9098,1,,,1
1931,UNL,10356,5,,,
1931,UNL,10357,13,,,
1931,UNL,8976,17,,,3
1931,UNL,10358,21,,,
1931,UNL,8885,25,,,2
1931,UNL,10359,29,,,
1932,123,9180,1,,,2
1932,123,10414,5,,,
1932,123,10363,9,,,
1932,123,8909,11,,,1
1932,123,10415,13,,,
1932,123,10416,15,,,
1932,123,10417,17,,,
