Division_id,Season,HOFEventID,Ordinal,Start Date,End Date,Location,Team Champion,Champs,Points,Weight Classes,Places
3,2012,,39th,3/9/12,3/10/12,Wisconsin-La Crosse,260,4,141.5,10,8
3,2011,,38th,3/11/11,3/12/11,Wisconsin-La Crosse,260,2,117,10,8
3,2010,,37th,3/5/10,3/6/10,Coe College,13,1,110.5,10,8
3,2009,,36th,3/7/09,3/8/09,Coe College,260,2,117.5,10,8
3,2008,,35th,3/8/08,3/9/08,Coe College,260,3,147,10,8
3,2007,,34th,3/2/07,3/3/07,Loras College,13,3,135.5,10,8
3,2006,,33rd,3/3/06,3/4/06,College of New Jersey,260,2,145.5,10,8
3,2005,,32nd,3/4/05,3/5/05,St. Olaf,13,4,162,10,8
3,2004,,31st,3/5/04,3/6/04,Loras College,260,4,156.5,10,8
3,2003,,30th,3/7/03,3/8/03,Ohio Northern,260,3,166.5,10,8
3,2002,,29th,3/1/02,3/2/02,Scranton,13,1,87,10,8
3,2001,,28th,3/2/01,3/3/01,Wartburg,13,3,119.5,10,8
3,2000,,27th,3/3/00,3/4/00,Ohio Northern,13,4,136,10,8
3,1999,,26th,3/5/99,3/6/99,College of New Jersey,260,2,117.5,10,8
3,1998,,25th,3/6/98,3/7/98,Loras College,13,2,132,10,8
3,1997,,24th,3/7/97,3/8/97,Ohio Northern,13,2,122,10,8
3,1996,,23rd,3/1/96,3/2/96,SUNY-Cortland,260,2,95.5,10,8
3,1995,,22nd,3/3/95,3/4/95,Augustana Illinois,13,2,84.5,10,8
3,1994,,21st,3/11/94,3/12/94,Wisconsin-Stevens,123,1,77.75,10,8
3,1993,,20th,3/6/93,3/7/93,Coast Guard,13,3,93,10,8
3,1992,,19th,3/6/92,3/7/92,College of New Jersey,236,1,76.5,10,8
3,1991,,18th,3/1/91,3/2/91,Augustana Illinois,13,1,92,10,8
3,1990,,17th,3/2/90,3/3/90,Ithaca,123,1,81,10,8
3,1989,,16th,3/4/89,3/5/89,John Carroll,123,0,72.5,10,8
3,1988,,15th,3/5/88,3/6/88,Wheaton,232,1,71,10,8
3,1987,,14th,3/6/87,3/7/87,SUNY-Buffalo,249,3,107.5,10,8
3,1986,,13th,2/28/86,3/1/86,College of New Jersey,162,2,87.75,10,8
3,1985,,12th,3/1/85,3/2/85,Augustana Illinois,249,2,67,10,8
3,1984,,11th,2/24/84,2/25/84,SUNY-Binghamton,249,1,96.5,10,8
3,1983,,10th,2/25/83,2/26/83,Wheaton,236,3,85.75,10,8
3,1982,,9th,2/26/82,2/27/82,SUNY-Cortland,236,3,111.5,10,6
3,1981,,8th,2/28/81,3/1/81,John Carroll,249,3,111.75,10,6
3,1980,,7th,2/29/80,3/1/80,Coast Guard,236,1,111.25,10,6
3,1979,,6th,2/23/79,2/24/79,Humboldt,249,1,77.75,10,6
3,1978,,5th,3/3/78,3/4/78,Wheaton,237,0,91.75,10,6
3,1977,,4th,3/4/77,3/5/77,SUNY-Binghamton,236,2,99.25,10,6
3,1976,,3rd,3/5/76,3/6/76,Coe College,162,4,143,10,6
3,1975,,2nd,3/7/75,3/8/75,John Carroll,126,4,111,10,6
3,1974,,1st,3/1/74,3/2/74,Wilkes,275,3,135.5,10,6
