School ID,Opponent ID,Season,Score,Win,Loss,Tie
79,481,1904,2-2,0,0,1
79,481,1905,2-4,0,1,0
79,481,1905,3-3,0,0,1
297,79,1906,3-4,0,1,0
79,414,1906,4-3,1,0,0
297,414,1906,4-3,1,0,0
297,414,1906,5-2,1,0,0
79,481,1906,2-5,0,1,0
297,481,1906,3-4,0,1,0
297,79,1907,7-0,1,0,0
79,414,1907,8-4,1,0,0
297,414,1907,4-3,1,0,0
297,414,1907,4-3,1,0,0
79,481,1907,3-4,0,1,0
297,481,1907,1-6,0,1,0
297,79,1908,6-1,1,0,0
79,84,1908,2-5,0,1,0
297,84,1908,4-2,1,0,0
84,414,1908,4-3,1,0,0
297,414,1908,5-2,1,0,0
297,414,1908,5-2,1,0,0
84,481,1908,1-6,0,1,0
79,481,1908,0-7,0,1,0
297,481,1908,1-6,0,1,0
297,481,1908,2-5,0,1,0
297,84,1909,2-5,0,1,0
79,414,1909,0-7,0,1,0
79,414,1909,2-5,0,1,0
84,414,1909,6-1,1,0,0
297,414,1909,4-3,1,0,0
297,414,1909,5-2,1,0,0
84,481,1909,3-3,0,0,1
79,481,1909,0-7,0,1,0
297,481,1909,4-3,1,0,0
183,84,1910,2-5,0,1,0
79,84,1910,1-6,0,1,0
297,84,1910,3-2,1,0,0
183,378,1910,2-5,0,1,0
290,378,1910,2.5-4.5,0,1,0
79,414,1910,0-7,0,1,0
79,414,1910,2-5,0,1,0
84,414,1910,6-1,1,0,0
297,414,1910,5-1,1,0,0
297,414,1910,6-1,1,0,0
84,481,1910,3.5-1.5,1,0,0
79,481,1910,3-4,0,1,0
297,481,1910,3-4,0,1,0
297,79,1911,4-3,1,0,0
183,84,1911,1-6,0,1,0
183,84,1911,2.5-2.5,0,0,1
290,84,1911,4-3,1,0,0
183,290,1911,2-5,0,1,0
154,393,1911,2-1,1,0,0
79,414,1911,4-3,1,0,0
84,414,1911,5.5-1.5,1,0,0
297,414,1911,3-3,0,0,1
297,414,1911,5-1,1,0,0
79,481,1911,6-1,1,0,0
297,481,1911,3-5,0,1,0
297,79,1912,4-2,1,0,0
183,84,1912,2-5,0,1,0
79,84,1912,1-6,0,1,0
290,84,1912,6-12,0,1,0
395,157,1912,4-0,1,0,0
183,290,1912,1.5-5.5,0,1,0
183,378,1912,1-6,0,1,0
154,393,1912,1-3,0,1,0
79,414,1912,3-4,0,1,0
84,414,1912,5-2,1,0,0
