Season,School ID,Division ID,Coach ID,Duals,Wins,Losses,Ties,Non DI
1904,66,,2,1,0,0,1,FALSE
1905,66,,2,2,0,1,1,FALSE
1906,66,,2,4,2,2,0,FALSE
1906,201,,488,4,0,3,1,FALSE
1906,205,,2,4,2,2,0,FALSE
1907,66,,2,4,1,3,0,FALSE
1907,201,,488,4,1,2,1,FALSE
1907,205,,2,4,3,1,0,FALSE
1908,66,,2,4,0,4,0,FALSE
1908,70,,639,4,2,2,0,FALSE
1908,201,,488,4,1,3,0,FALSE
1908,205,,2,6,4,2,0,FALSE
1909,66,,2,5,0,5,0,FALSE
1909,70,,172,3,2,0,1,FALSE
1909,166,,142,1,1,0,0,FALSE
1909,197,,639,2,2,0,0,FALSE
1909,200,,196,1,0,1,0,FALSE
1909,201,,2,7,2,5,0,FALSE
1909,205,,2,4,3,1,0,FALSE
1910,66,,2,5,0,5,0,FALSE
1910,70,,172,5,4,1,0,FALSE
1910,134,,594,2,0,2,0,FALSE
1910,166,,857,4,3,1,0,FALSE
1910,197,,639,1,1,0,0,FALSE
1910,200,,196,2,1,1,0,FALSE
1910,201,,2,6,3,3,0,FALSE
1910,205,,2,5,4,1,0,FALSE
1911,66,,2,4,3,1,0,FALSE
1911,70,,172,5,3,2,0,FALSE
1911,116,,662,1,0,1,0,FALSE
1911,121,,664,1,0,1,0,FALSE
1911,134,,594,5,2,2,1,FALSE
1911,166,,857,4,3,1,0,FALSE
1911,197,,641,1,0,1,0,FALSE
1911,200,,196,4,4,0,0,FALSE
1911,201,,98,5,0,4,1,FALSE
1911,205,,2,6,2,3,1,FALSE
1911,280,,675,1,0,0,1,FALSE
1912,66,,2,4,0,3,1,FALSE
1912,70,,172,5,5,0,0,FALSE
1912,116,,662,2,1,1,0,FALSE
1912,121,,664,2,1,1,0,FALSE
1912,134,,98,5,0,4,1,FALSE
1912,166,,857,4,3,1,0,FALSE
1912,197,,641,2,1,0,1,FALSE
1912,200,,196,5,4,1,0,FALSE
1912,201,,2,7,1,5,1,FALSE
1912,205,,2,6,3,2,1,FALSE
1912,280,,675,1,0,0,1,FALSE
1913,66,,2,7,2,5,0,FALSE
1913,70,,172,6,4,2,0,FALSE
1913,116,,662,1,1,0,0,FALSE
1913,121,,664,2,2,0,0,FALSE
1913,134,,98,5,4,1,0,FALSE
1913,166,,142,6,3,3,0,FALSE
1913,197,,641,2,0,0,2,FALSE
1913,200,,196,3,3,0,0,FALSE
1913,201,,2,7,2,5,0,FALSE
1913,205,,2,6,1,5,0,FALSE
1913,280,,676,1,1,0,0,FALSE
1914,66,,2,6,1,5,0,FALSE
1914,70,,172,7,6,1,0,FALSE
1914,116,,661,1,1,0,0,FALSE
1914,121,,664,1,1,0,0,FALSE
1914,134,,98,6,2,3,1,FALSE
1914,166,,142,6,5,1,0,FALSE
1914,200,,529,5,5,0,0,FALSE
1914,201,,649,6,2,3,1,FALSE
1914,205,,2,5,3,2,0,FALSE
1914,206,,648,2,0,2,0,FALSE
1914,280,,677,1,1,0,0,FALSE
1915,66,,372,7,1,6,0,FALSE
1915,70,,172,4,3,1,0,FALSE
1915,116,,659,3,2,0,1,FALSE
1915,121,,664,2,1,0,1,FALSE
1915,134,,98,6,3,3,0,FALSE
1915,166,,142,6,6,0,0,FALSE
1915,167,,473,1,1,0,0,FALSE
1915,193,,726,1,0,1,0,FALSE
1915,197,,641,3,2,1,0,FALSE
1915,200,,196,5,4,1,0,FALSE
1915,201,,649,7,2,5,0,FALSE
1915,205,,2,5,4,1,0,FALSE
1915,206,,646,4,1,2,1,FALSE
1915,229,,2,2,1,1,0,FALSE
1915,280,,677,3,2,0,1,FALSE
1916,66,,372,4,0,4,0,FALSE
1916,70,,172,4,4,0,0,FALSE
1916,116,,659,4,1,2,1,FALSE
1916,121,,663,3,2,0,1,FALSE
1916,122,,128,2,1,1,0,FALSE
1916,134,,98,5,3,2,0,FALSE
1916,166,,142,5,4,1,0,FALSE
1916,167,,473,2,0,1,1,FALSE
1916,193,,19,1,0,1,0,FALSE
1916,197,,641,3,2,1,0,FALSE
1916,200,,196,6,5,1,0,FALSE
1916,201,,2,6,1,5,0,FALSE
1916,205,,2,7,4,3,0,FALSE
1916,206,,646,5,1,4,0,FALSE
1916,229,,2,4,1,2,1,FALSE
1916,280,,534,3,1,2,0,FALSE
1917,66,,372,5,1,4,0,FALSE
1917,70,,172,7,5,2,0,FALSE
1917,116,,659,4,4,0,0,FALSE
1917,121,,663,2,0,2,0,FALSE
1917,122,,128,2,2,0,0,FALSE
1917,134,,98,6,4,2,0,FALSE
1917,166,,142,4,2,2,0,FALSE
1917,193,,19,3,2,0,1,FALSE
1917,197,,641,3,3,0,0,FALSE
1917,200,,196,6,6,0,0,FALSE
1917,201,,642,5,2,3,0,FALSE
1917,202,,635,4,0,4,0,FALSE
1917,205,,2,5,1,4,0,FALSE
1917,206,,646,3,1,2,0,FALSE
1917,229,,2,5,2,3,0,FALSE
1917,280,,534,3,0,3,0,FALSE
1918,66,,372,5,2,3,0,FALSE
1918,70,,172,5,2,3,0,FALSE
1918,121,,663,1,1,0,0,FALSE
1918,122,,128,2,1,1,0,FALSE
1918,134,,98,5,3,2,0,FALSE
1918,166,,142,4,3,1,0,FALSE
1918,197,,643,2,1,1,0,FALSE
1918,200,,528,4,4,0,0,FALSE
1918,201,,642,5,2,3,0,FALSE
1918,202,,635,4,0,4,0,FALSE
1918,205,,631,3,1,2,0,FALSE
1918,206,,646,1,1,0,0,FALSE
1919,66,,372,4,1,3,0,FALSE
1919,70,,172,0,0,0,0,FALSE
1919,121,,663,1,0,1,0,FALSE
1919,122,,128,3,3,0,0,FALSE
1919,134,,98,5,3,2,0,FALSE
1919,166,,142,5,5,0,0,FALSE
1919,167,,473,1,1,0,0,FALSE
1919,197,,644,1,1,0,0,FALSE
1919,200,,528,4,2,2,0,FALSE
1919,201,,489,5,1,4,0,FALSE
1919,205,,631,3,2,1,0,FALSE
1919,280,,533,1,0,1,0,FALSE
1920,66,,372,7,3,4,0,FALSE
1920,70,,172,6,4,2,0,FALSE
1920,116,,444,3,3,0,0,FALSE
1920,121,,663,3,0,3,0,FALSE
1920,122,,128,6,5,1,0,FALSE
1920,134,,98,7,2,5,0,FALSE
1920,155,,471,2,0,2,0,FALSE
1920,166,,142,7,7,0,0,FALSE
1920,191,,813,2,1,1,0,FALSE
1920,192,,673,2,0,2,0,FALSE
1920,193,,19,3,3,0,0,FALSE
1920,197,,641,2,2,0,0,FALSE
1920,200,,196,6,5,1,0,FALSE
1920,201,,489,8,2,6,0,FALSE
1920,205,,631,8,1,7,0,FALSE
1920,206,,646,3,1,2,0,FALSE
1920,229,,2,8,4,4,0,FALSE
1920,280,,533,3,2,1,0,FALSE
1921,10,,492,3,1,2,0,FALSE
1921,66,,372,9,1,7,1,FALSE
1921,70,,172,6,4,2,0,FALSE
1921,116,,444,3,2,1,0,FALSE
1921,121,,664,5,4,1,0,FALSE
1921,122,,128,8,7,1,0,FALSE
1921,134,,98,7,4,3,0,FALSE
1921,155,,471,4,0,4,0,FALSE
1921,166,,142,5,5,0,0,FALSE
1921,190,,527,3,2,1,0,FALSE
1921,191,,813,2,0,2,0,FALSE
1921,192,,538,4,0,4,0,FALSE
1921,193,,19,5,3,2,0,FALSE
1921,197,,642,3,3,0,0,FALSE
1921,200,,196,7,6,1,0,FALSE
1921,201,,487,7,4,3,0,FALSE
1921,205,,633,8,4,3,1,FALSE
1921,206,,646,5,3,2,0,FALSE
1921,229,,2,6,4,1,1,FALSE
1921,254,,716,2,1,1,0,FALSE
1921,258,,722,1,0,1,0,FALSE
1921,270,,924,6,3,3,0,FALSE
1921,280,,128,3,2,1,0,FALSE
1922,10,,492,7,3,4,0,FALSE
1922,66,,372,7,5,2,0,FALSE
1922,70,,172,6,5,1,0,FALSE
1922,110,,1193,9,2,7,0,FALSE
