Coach_ID,Coach,Last Name,First Name,Active,Seasons,Total Meets,Total Wins,Total Losses,Total Ties,Win Pct,Champs,AAs,ChampPct,AAPct
2,Unknown,Unknown,Unknown,FALSE,78,597,263,321,13,0.451423786,0,1,0,4.17E-03
1,"Abel, Stan",Abel,Stan,FALSE,23,441,301,132,8,0.691609977,15,76,6.82E-02,4.69E-02
3,"Benning, Don",Benning,Don,FALSE,8,115,87,24,4,0.773913043,0,0,0,0
5,"Borah, Tracy",Borah,Tracy,FALSE,27,320,180,138,2,0.565625,0,4,0,5.24E-03
9,"Carlson, Bob",Carlson,Bob,FALSE,13,216,141,73,2,0.657407407,0,0,0,0
10,"Chesbro, Tommy",Chesbro,Tommy,FALSE,15,253,227,26,0,0.897233202,19,76,0.126666667,7.45E-02
12,"DeCarlo, Tony",DeCarlo,Tony,FALSE,23,278,213,65,0,0.76618705,0,3,0,4.41E-03
13,"Denney, Mike",Denney,Mike,TRUE,32,425,312,108,5,0.74,0,4,0,0.005
14,"Douglas, Bobby",Douglas,Bobby,FALSE,33,604,427,168,9,0.714403974,13,111,3.94E-02,4.37E-02
16,"Evans, Tommy",Evans,Tommy,FALSE,12,180,138,40,2,0.772222222,19,59,0.141791045,7.93E-02
18,"Gable, Dan",Gable,Dan,FALSE,21,381,355,21,5,0.93832021,45,152,0.214285714,9.27E-02
19,"Gallagher, Edward",Gallagher,Edward,FALSE,23,145,136,5,4,0.951724138,37,69,0.366336634,0.222580645
20,"Garland, Bill",Garland,Bill,FALSE,27,339,170,159,10,0.516224189,1,6,1.06E-02,1.10E-02
21,"Gibbons, Jim",Gibbons,Jim,FALSE,7,129,96,32,1,0.748062016,7,32,0.1,5.71E-02
22,"Grahn, Marlin",Grahn,Marlin,FALSE,22,417,126,282,9,0.31294964,0,2,0,1.92E-03
23,"Griffin, Eddie",Griffin,Eddie,FALSE,13,212,141,69,2,0.669811321,0,4,0,5.56E-03
24,"Griffith, Art",Griffith,Art,FALSE,13,89,78,7,4,0.898876404,27,64,0.236842105,0.140350877
26,"Hitchcock, Vaughan",Hitchcock,Vaughan,FALSE,23,467,353,110,4,0.760171306,2,27,9.80E-03,2.01E-02
28,"Houk, Russell",Houk,Russell,FALSE,14,181,142,35,4,0.79558011,0,3,0,6.64E-03
31,"Icenhower, David",Icenhower,David,TRUE,35,627,535,87,5,0.857256778,1,1,8.33E-03,1.09E-03
33,"James, David",James,David,TRUE,29,464,340,118,6,0.739224138,0,0,0,0
35,"Jehlicka, Rodger",Jehlicka,Rodger,FALSE,17,208,127,78,3,0.617788462,0,0,0,0
38,"Keen, Paul",Keen,Paul,FALSE,12,86,50,33,3,0.598837209,12,27,0.155844156,0.113445378
39,"Kerr, T.J.",Kerr,T.J.,FALSE,38,639,421,211,7,0.664319249,3,36,8.33E-03,1.29E-02
41,"Kristoff, Larry",Kristoff,Larry,FALSE,30,422,211,199,12,0.514218009,0,10,0,9.80E-03
42,"Kurdelmeier, Gary",Kurdelmeier,Gary,FALSE,7,113,79,29,5,0.721238938,6,17,0.12,0.053125
45,"Leen, Mark",Leen,Mark,FALSE,6,79,43,35,1,0.550632911,0,0,0,0
50,"Macias, Rometo",Macias,Rometo,FALSE,37,518,299,207,12,0.588803089,0,12,0,8.24E-03
51,"Maughan, Arthur",Maughan,Arthur,TRUE,47,637,467,157,13,0.7433281,0,5,0,3.42E-03
52,"McCuskey, Dave",McCuskey,Dave,FALSE,40,376,262,100,14,0.715425532,25,74,7.69E-02,5.30E-02
53,"Michael, Ed",Michael,Ed,FALSE,21,322,213,106,3,0.666149068,0,1,0,1.22E-03
54,"Miller, Erie",Miller,Erie,FALSE,27,345,203,135,7,0.598550725,4,10,2.67E-02,1.31E-02
55,"Moses, Gene",Moses,Gene,FALSE,3,29,20,8,1,0.706896552,0,0,0,0
56,"Murray, Don",Murray,Don,TRUE,41,379,301,72,6,0.802110818,0,3,0,3.89E-03
57,"Murray, John",Murray,John,FALSE,15,209,150,59,0,0.717703349,0,0,0,0
59,"Nichols, Harold",Nichols,Harold,FALSE,37,591,483,94,14,0.829103215,38,156,0.117283951,8.19E-02
60,"Otopalik, Hugo",Otopalik,Hugo,FALSE,28,230,159,65,6,0.704347826,8,22,5.13E-02,3.97E-02
63,"Patten, Charles",Patten,Charles,FALSE,19,332,234,90,8,0.71686747,0,13,0,1.25E-02
64,"Pecora, Pat",Pecora,Pat,TRUE,35,621,487,128,6,0.789049919,3,3,0.06,0.0075
65,"Peninger, Grady",Peninger,Grady,FALSE,24,336,213,113,10,0.648809524,10,56,0.040983607,3.45E-02
66,"Powell, Frank",Powell,Frank,FALSE,9,109,72,36,1,0.665137615,1,3,1.35E-02,6.76E-03
68,"Reese, John",Reese,John,FALSE,42,688,514,164,10,0.754360465,0,5,0,2.93E-03
69,"Ridenour, Charles",Ridenour,Charles,FALSE,11,114,33,74,7,0.320175439,1,2,0.1,3.33E-02
70,"Riehm, Bob",Riehm,Bob,FALSE,25,343,270,71,2,0.790087464,0,0,0,0
71,"Robertson, Port",Robertson,Port,FALSE,14,122,88,27,7,0.75,13,44,0.108333333,9.32E-02
72,"Roderick, Myron",Roderick,Myron,FALSE,13,157,140,10,7,0.914012739,20,79,0.149253731,0.115497076
74,"Sciacchetano, Larry",Sciacchetano,Larry,FALSE,14,242,151,84,7,0.638429752,0,14,0,1.62E-02
75,"Scott, Paul",Scott,Paul,FALSE,6,52,43,8,1,0.836538462,4,16,0.125,0.125
76,"Seay, Joe",Seay,Joe,FALSE,20,404,317,82,5,0.790841584,13,62,0.068421053,4.37E-02
77,"Simons, Gray",Simons,Gray,FALSE,39,537,329,203,5,0.617318436,3,21,0.0078125,7.60E-03
78,"Smith, John",Smith,John,TRUE,20,363,312,45,6,0.867768595,24,92,0.126315789,6.05E-02
80,"Speidel, Charlie",Speidel,Charlie,FALSE,34,260,191,56,13,0.759615385,6,41,2.56E-02,4.42E-02
81,"Strellner, Steve",Strellner,Steve,FALSE,8,152,84,67,1,0.555921053,0,5,0,0.0125
83,"Swenson, Jeff",Swenson,Jeff,FALSE,25,365,321,44,0,0.879452055,0,0,0,0
84,"Thom, William",Thom,William,FALSE,18,124,95,25,4,0.782258065,7,29,7.53E-02,9.86E-02
86,"Westcott, Howard",Westcott,Howard,FALSE,18,236,164,64,8,0.711864407,2,11,1.92E-02,2.02E-02
89,"Zalesky, Jim",Zalesky,Jim,TRUE,14,254,192,60,2,0.75984252,10,48,7.14E-02,4.29E-02
92,"Rein, Andy",Rein,Andy,FALSE,7,125,81,41,3,0.66,3,14,4.29E-02,0.025
93,"Patterson, Buel",Patterson,Buel,FALSE,24,292,132,144,16,0.479452055,3,20,0.015,2.23E-02
94,"Davis, Barry",Davis,Barry,TRUE,18,317,183,123,11,0.594637224,4,37,2.22E-02,2.57E-02
95,"Mooney, Bernard",Mooney,Bernard,FALSE,20,146,80,61,5,0.565068493,2,5,0.028169014,2.11E-02
96,"Johannesen, Bill",Johannesen,Bill,FALSE,4,65,43,22,0,0.661538462,2,8,0.05,3.33E-02
97,"Lam, Bill",Lam,Bill,FALSE,30,513,378,131,4,0.740740741,5,37,1.67E-02,1.61E-02
98,"Sheridan, Billy",Sheridan,Billy,FALSE,42,321,222,90,9,0.705607477,5,13,4.17E-02,3.18E-02
99,"Fehrs, Bob",Fehrs,Bob,FALSE,7,148,95,51,2,0.648648649,2,11,2.86E-02,1.96E-02
100,"Guzzo, Bob",Guzzo,Bob,FALSE,30,546,356,183,7,0.658424908,4,24,1.33E-02,1.03E-02
101,"Baumgartner, Bruce",Baumgartner,Bruce,FALSE,7,105,69,36,0,0.657142857,0,11,0,1.96E-02
102,"Campbell, Paul",Campbell,Paul,FALSE,4,22,12,9,1,0.568181818,0,1,0,0.03125
103,"Poff, Carl",Poff,Carl,FALSE,10,198,147,49,2,0.747474747,2,14,1.67E-02,1.46E-02
104,"Voyles, Carl",Voyles,Carl,FALSE,,,,,,,2,18,4.35E-02,0.124137931
105,"Fredericks, Casey",Fredericks,Casey,FALSE,29,288,135,140,13,0.491319444,1,6,0.005,5.62E-03
106,"Sherwood, Charles",Sherwood,Charles,FALSE,25,327,196,125,6,0.608562691,0,6,0,4.23E-03
108,"Mayser, Charlie",Mayser,Charlie,FALSE,28,207,179,21,7,0.881642512,0,4,0,1.96E-02
109,"McDaniel, Charlie",McDaniel,Charlie,FALSE,27,294,146,137,11,0.515306122,0,15,0,1.34E-02
110,"Reeck, Claude",Reeck,Claude,FALSE,32,301,99,187,15,0.353820598,3,21,1.79E-02,2.81E-02
111,"Keen, Clifford",Keen,Clifford,FALSE,42,368,267,91,10,0.739130435,11,69,3.56E-02,5.24E-02
