Division ID,Season,Wrestler ID,School ID
1,1932,8923,118
1,1933,8882,110
1,1933,9162,193
1,1934,8989,134
1,1935,9153,193
1,1936,9124,192
1,1937,9156,193
1,1938,9171,193
1,1939,9045,155
1,1940,9017,151
1,1941,9202,193
1,1942,9139,193
1,1946,9081,184
1,1947,9080,184
1,1948,9080,184
1,1949,9159,193
1,1950,9263,265
1,1951,8871,71
1,1952,8733,192
1,1953,8857,70
1,1954,8733,192
1,1955,8579,134
1,1956,8443,192
1,1957,8443,192
1,1958,8319,192
1,1959,8063,122
1,1960,8043,70
1,1961,7808,137
1,1962,7808,137
1,1963,7530,192
1,1964,7528,63
1,1965,7266,193
1,1966,7266,193
1,1967,6765,204
1,1968,6044,193
1,1969,6325,121
1,1970,5840,261
1,1971,6046,193
1,1972,5644,56
1,1973,5439,197
1,1974,5433,19
1,1975,5031,134
1,1976,5039,121
1,1977,4821,112
1,1978,4432,151
1,1979,4421,121
1,1980,403,197
1,1981,4283,242
1,1982,4007,192
1,1983,3805,193
1,1984,3803,121
1,1985,3584,121
1,1986,3404,121
1,1987,3149,193
1,1988,3161,176
1,1989,2873,122
1,1990,2580,193
1,1991,2361,200
1,1992,2253,121
1,1993,2211,121
1,1994,2030,193
1,1995,1770,175
1,1996,1583,197
1,1997,1454,121
1,1998,1349,121
1,1999,274,122
1,2000,274,122
1,2001,274,122
1,2002,274,122
1,2003,185,9
1,2004,161,110
1,2005,167,270
1,2006,10669,158
1,2007,10581,41
1,2008,14787,121
1,2009,14576,176
1,2010,14511,155
1,2011,14917,9
1,2012,15530,200
1,2013,15301,70
2,1963,7801,220
2,1964,15748,
2,1965,7249,273
2,1966,7024,234
2,1967,6765,204
2,1968,6765,204
2,1969,6558,194
2,1970,6255,31
2,1971,5848,222
2,1972,5644,56
2,1973,5665,31
2,1974,5433,19
2,1975,4888,246
2,1976,4936,224
2,1977,4621,32
2,1978,339,32
2,1979,331,32
2,1980,479,15
2,1981,4154,32
2,1982,3857,180
2,1983,3796,32
2,1984,3859,165
2,1985,3415,15
2,1986,3415,15
2,1987,3212,32
2,1988,2844,203
2,1989,2534,204
2,1990,2534,204
2,1991,2534,204
2,1992,12831,182
2,1993,11540,64
2,1994,12876,295
2,1995,12877,180
2,1996,12878,224
2,1997,12880,163
2,1998,12879,224
2,1999,715,203
2,2000,13100,180
2,2001,13098,180
2,2002,13099,180
2,2003,12968,295
2,2004,12976,364
2,2005,12980,15
2,2006,12984,168
2,2007,12996,168
2,2008,14146,168
2,2009,13922,343
2,2010,15006,203
2,2011,15037,273
2,2012,15076,1
3,1974,5561,133
3,1975,5213,162
3,1976,5058,162
3,1977,4698,154
3,1978,4469,162
3,1979,4562,11
3,1980,501,237
3,1981,777,140
3,1982,3990,236
3,1983,3990,236
3,1984,3858,249
3,1985,3054,249
3,1986,3452,162
3,1987,3238,162
3,1988,3054,249
3,1989,2833,162
3,1990,12054,286
3,1991,12054,286
3,1992,12057,53
3,1993,12713,13
3,1994,12616,14
3,1995,12618,13
3,1996,12513,236
3,1997,12515,141
3,1998,12314,209
3,1999,12314,209
3,2000,12313,13
3,2001,12312,350
3,2002,12268,320
3,2003,12213,162
3,2004,12133,13
3,2005,12151,363
3,2006,13787,345
3,2007,12159,140
3,2008,13864,363
3,2009,14981,76
3,2010,15329,130
3,2011,15139,334
3,2012,15910,260
7,1958,6753,145
7,1959,7808,137
7,1960,7808,137
7,1961,7808,137
7,1962,7808,137
7,1963,13523,29
7,1964,7541,137
7,1965,6765,204
7,1966,7264,137
7,1967,6789,50
7,1967,13538,460
7,1968,6789,50
7,1969,6541,137
7,1970,13543,168
7,1971,13548,168
7,1972,6411,1
7,1973,13554,484
7,1974,13560,50
7,1975,13580,90
7,1976,13587,480
7,1977,13590,90
7,1978,13604,286
7,1979,4411,39
7,1980,4194,390
7,1981,13626,295
7,1982,13621,295
7,1983,4073,227
7,1984,13619,295
7,1985,13646,464
7,1986,13646,464
7,1987,11571,295
7,1988,13666,325
7,1989,13666,325
7,1990,13679,472
7,1991,13668,479
7,1992,13692,365
7,1993,13678,489
7,1994,13698,467
7,1995,13715,364
7,1996,13686,467
7,1997,13728,489
7,1998,13735,161
7,1999,13728,489
7,2000,13756,489
7,2001,13716,472
7,2002,13772,472
7,2003,13749,472
7,2004,13749,472
7,2005,7396,472
7,2006,14043,466
7,2007,14736,503
7,2008,14141,459
