Season,Last Update,Word Count,Start Date,End Date,Location,Team Champ ID,Champion Points,Schools,Participants,Bouts,Total Points,Weight Classes,Places,Complete,Audited,JPEG,JPEG Path,HOFEventID,Comments
2013,,,3/21/13,3/23/13,"Des Moines, IA",200,0,0,0,0,0,0,0,FALSE,FALSE,0,,,
2012,,,3/15/12,3/17/12,St. Louis,200,0,0,0,0,0,0,0,FALSE,FALSE,0,,,
2011,,,3/17/11,3/20/11,Philadelphia,200,0,0,0,0,0,0,0,FALSE,FALSE,0,,,
2010,,,3/18/10,3/20/10,Omaha,121,0,0,0,0,0,0,0,FALSE,FALSE,0,,,
2009,,,3/19/09,3/21/09,St. Louis,121,96.5,76,330,0,0,10,8,FALSE,FALSE,0,,,
2008,,,3/20/08,3/22/08,St. Louis,121,117.5,74,330,0,0,10,8,FALSE,FALSE,0,,,
2007,,,3/15/07,3/17/07,"Auburn Hills, MI",155,98,74,330,0,0,10,8,FALSE,FALSE,0,,,
2006,,,3/16/06,3/18/06,Oklahoma City,193,122.5,69,330,637,1581,10,8,TRUE,FALSE,2,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa2006.jpg,,
2005,,2442,3/17/05,3/19/05,St. Louis,193,153,76,330,640,1586.5,10,8,TRUE,FALSE,2,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa2005.jpg,,
2004,2/20/05,2124,3/18/04,3/20/04,St. Louis,193,123.5,73,329,638,1530.5,10,8,TRUE,FALSE,2,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa2004.jpg,,
2003,12/31/03,2050,3/20/03,3/22/03,Kansas City,193,143,75,329,638,1522,10,8,TRUE,TRUE,2,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa2003.jpg,,
2002,7/9/03,1954,3/21/02,3/23/02,"Albany, NY",155,126.5,79,330,640,1530,10,8,TRUE,TRUE,2,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa2002.jpg,455,
2001,12/31/03,2081,3/15/01,3/17/01,Iowa,155,138.5,78,329,638,1525.5,10,8,TRUE,TRUE,2,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa2001.jpg,413,
2000,7/9/03,1951,3/16/00,3/18/00,St. Louis,121,116,78,330,640,1399,10,8,TRUE,TRUE,2,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa2000.jpg,412,
1999,7/9/03,2024,3/18/99,3/20/99,Penn State,121,100.5,79,329,638,1436.5,10,8,TRUE,TRUE,2,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa1999.jpg,408,
1998,7/8/04,2031,3/19/98,3/21/98,Cleveland State,121,115,84,330,640,1439.5,10,8,TRUE,TRUE,2,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa1998.jpg,394,
1997,7/8/04,2034,3/20/97,3/19/97,Northern Iowa,121,170,79,325,630,1384.5,10,8,TRUE,TRUE,2,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa1997.jpg,378,
1996,7/9/04,1922,3/21/96,3/23/96,Minnesota,121,122.5,80,328,636,1316.5,10,8,TRUE,TRUE,2,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa1996.jpg,362,
1995,7/8/04,1920,3/16/95,3/18/95,Iowa,121,134,82,329,549,1238,10,8,TRUE,TRUE,2,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa1995.jpg,346,
1994,7/9/04,1918,3/17/94,3/19/94,North Carolina,193,94.75,84,326,546,1161,10,8,TRUE,TRUE,2,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa1994.jpg,330,
1993,7/10/03,2105,3/18/93,3/20/93,Iowa State,121,123.75,81,329,551,1151,10,8,TRUE,TRUE,2,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa1993.jpg,314,
1992,7/10/03,2061,3/19/92,3/21/92,Oklahoma City,121,149,84,327,550,1121.75,10,8,TRUE,TRUE,2,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa1992.jpg,298,
1991,7/10/03,1937,3/14/91,3/16/91,Iowa,121,157,93,334,553,1187.75,10,8,TRUE,TRUE,1,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa1991.jpg,282,
1990,7/10/03,2007,3/22/90,3/24/90,Maryland,193,117.75,99,344,572,1228.25,10,8,TRUE,TRUE,1,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa1990.jpg,266,
1989,12/31/03,2042,3/16/89,3/18/89,Oklahoma City,193,91.25,110,359,590,1156.25,10,8,TRUE,TRUE,1,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa1989.jpg,253,
1988,1/13/05,2110,3/17/88,3/19/88,Iowa State,9,93,112,354,573,1195.75,10,8,TRUE,TRUE,1,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa1988.jpg,240,
1987,7/9/04,2062,3/19/87,3/21/87,Maryland,122,133,117,357,586,1180,10,8,TRUE,TRUE,1,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa1987.jpg,227,
1986,7/9/04,1956,3/13/86,3/15/86,Iowa,121,158,109,350,582,1311.75,10,8,TRUE,TRUE,1,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa1986.jpg,214,
1985,12/31/03,2088,3/14/85,3/16/85,Oklahoma City,121,145.25,116,348,492,1239,10,8,TRUE,TRUE,1,C:\Documents and Settings\Jay Hammond\My Documents\Access2000\Wrestling\Tournaments\NCAA\Champ Photos\ncaa1985.jpg,203,
