1,Alaska,AK
2,Alabama,AL
3,Arkansas,AR
4,Arizona,AZ
5,California,CA
6,Colorado,CO
7,Connecticut,CT
8,District of Columbia,DC
9,Delaware,DE
10,Florida,FL
11,Georgia,GA
12,Hawaii,HI
13,Iowa,IA
14,Idaho,ID
15,Illinois,IL
16,Indiana,IN
17,Kansas,KS
18,Kentucky,KY
19,Louisiana,LA
20,Massachusetts,MA
21,Maryland,MD
22,Maine,ME
23,Michigan,MI
24,Minnesota,MN
25,Missouri,MO
26,Mississippi,MS
27,Montana,MT
28,North Carolina,NC
29,North Dakota,ND
30,Nebraska,NE
31,New Hampshire,NH
32,New Jersey,NJ
33,New Mexico,NM
34,Nevada,NV
35,New York,NY
36,Ohio,OH
37,Oklahoma,OK
38,Oregon,OR
39,Pennsylvania,PA
40,Puerto Rico,PR
41,Rhode Island,RI
42,South Carolina,SC
43,South Dakota,SD
44,Tennessee,TN
45,Texas,TX
46,Utah,UT
47,Virginia,VA
48,Vermont,VT
49,Washington,WA
50,Wisconsin,WI
51,West Virginia,WV
52,Wyoming,WY
65,Guam,GU
66,Puerto Rico,PR
67,U.S. Virgin Islands,VI
69,Canada,CN
70,Japan,JP
71,Iran,IR
72,Germany,GR
73,Uzbekistan,UZ
74,Hungary,HU
75,Turkey,TU
76,South Africa,SA
77,Poland,PL
78,Russia,RU
79,Mongolia,MG
