Season,Date,Rank,College ID
1957,12/31/56,10,65
1957,12/31/56,4,121
1957,12/31/56,9,122
1957,12/31/56,7,134
1957,12/31/56,6,151
1957,12/31/56,8,152
1957,12/31/56,1,192
1957,12/31/56,2,193
1957,12/31/56,5,200
1957,12/31/56,3,202
1960,12/14/59,8,70
1960,12/14/59,4,121
1960,12/14/59,5,122
1960,12/14/59,9,134
1960,12/14/59,10,145
1960,12/14/59,7,152
1960,12/14/59,2,192
1960,12/14/59,3,193
1960,12/14/59,1,200
1960,12/14/59,6,242
1960,1/25/60,7,70
1960,1/25/60,6,121
1960,1/25/60,5,122
1960,1/25/60,9,134
1960,1/25/60,4,151
1960,1/25/60,2,192
1960,1/25/60,1,193
1960,1/25/60,3,200
1960,1/25/60,10,202
1960,1/25/60,8,288
1960,3/1/60,7,70
1960,3/1/60,9,121
1960,3/1/60,4,122
1960,3/1/60,5,151
1960,3/1/60,8,152
1960,3/1/60,10,166
1960,3/1/60,1,192
1960,3/1/60,2,193
1960,3/1/60,3,200
1960,3/1/60,6,202
1961,12/12/60,5,121
1961,12/12/60,10,122
1961,12/12/60,6,134
1961,12/12/60,9,145
1961,12/12/60,3,151
1961,12/12/60,8,152
1961,12/12/60,2,192
1961,12/12/60,1,193
1961,12/12/60,7,200
1961,12/12/60,4,202
1961,2/8/61,8,10
1961,2/8/61,5,121
1961,2/8/61,6,122
1961,2/8/61,2,134
1961,2/8/61,3,151
1961,2/8/61,10,152
1961,2/8/61,4,192
1961,2/8/61,1,193
1961,2/8/61,7,200
1961,2/8/61,9,202
1962,12/13/61,9,10
1962,12/13/61,7,121
1962,12/13/61,8,122
1962,12/13/61,2,134
1962,12/13/61,10,151
1962,12/13/61,5,152
1962,12/13/61,6,184
1962,12/13/61,3,192
1962,12/13/61,1,193
1962,12/13/61,4,202
1962,2/8/62,7,10
1962,2/8/62,8,121
1962,2/8/62,10,122
1962,2/8/62,2,134
1962,2/8/62,5,151
1962,2/8/62,6,152
1962,2/8/62,3,192
1962,2/8/62,1,193
1962,2/8/62,9,200
1962,2/8/62,4,202
1963,12/12/62,5,65
1963,12/12/62,3,121
1963,12/12/62,8,122
1963,12/12/62,4,134
1963,12/12/62,6,151
1963,12/12/62,10,152
1963,12/12/62,1,192
1963,12/12/62,2,193
1963,12/12/62,9,242
1963,12/12/62,7,288
1963,2/6/63,3,121
1963,2/6/63,9,122
1963,2/6/63,7,151
1963,2/6/63,5,166
1963,2/6/63,10,182
1963,2/6/63,2,192
1963,2/6/63,1,193
1963,2/6/63,6,200
1963,2/6/63,8,202
1963,2/6/63,4,242
1964,12/11/63,10,63
1964,12/11/63,1,122
1964,12/11/63,7,134
1964,12/11/63,3,151
1964,12/11/63,9,155
1964,12/11/63,8,166
1964,12/11/63,6,182
1964,12/11/63,2,193
1964,12/11/63,4,202
1964,12/11/63,5,242
1964,2/15/64,10,19
1964,2/15/64,1,122
1964,2/15/64,5,134
1964,2/15/64,3,151
1964,2/15/64,9,166
1964,2/15/64,4,182
1964,2/15/64,8,187
1964,2/15/64,2,193
1964,2/15/64,7,220
1964,2/15/64,6,242
1965,12/9/64,7,63
1965,12/9/64,2,122
1965,12/9/64,4,134
1965,12/9/64,9,148
1965,12/9/64,3,151
1965,12/9/64,5,166
1965,12/9/64,6,192
1965,12/9/64,1,193
1965,12/9/64,10,197
1965,12/9/64,8,200
1965,2/3/65,6,10
1965,2/3/65,2,122
1965,2/3/65,3,134
1965,2/3/65,5,151
1965,2/3/65,7,152
1965,2/3/65,8,166
1965,2/3/65,4,192
1965,2/3/65,1,193
1965,2/3/65,9,200
1965,2/3/65,10,242
1965,3/3/65,10,9
1965,3/3/65,8,10
1965,3/3/65,7,63
1965,3/3/65,9,70
1965,3/3/65,2,122
1965,3/3/65,3,134
1965,3/3/65,4,151
1965,3/3/65,5,192
1965,3/3/65,1,193
1965,3/3/65,6,242
1966,12/8/65,5,9
1966,12/8/65,3,122
1966,12/8/65,4,134
1966,12/8/65,10,148
1966,12/8/65,6,151
1966,12/8/65,9,152
1966,12/8/65,7,166
1966,12/8/65,2,192
1966,12/8/65,1,193
1966,12/8/65,8,200
1966,2/2/66,3,122
1966,2/2/66,5,134
1966,2/2/66,10,151
1966,2/2/66,6,152
1966,2/2/66,8,155
1966,2/2/66,4,166
1966,2/2/66,9,182
1966,2/2/66,2,192
1966,2/2/66,1,193
1966,2/2/66,7,200
1966,3/2/66,3,122
1966,3/2/66,5,134
1966,3/2/66,10,137
1966,3/2/66,9,151
1966,3/2/66,6,152
1966,3/2/66,8,155
1966,3/2/66,4,166
1966,3/2/66,2,192
1966,3/2/66,1,193
1966,3/2/66,7,200
1967,12/14/66,7,86
1967,12/14/66,2,122
1967,12/14/66,5,134
1967,12/14/66,8,137
1967,12/14/66,4,151
1967,12/14/66,6,152
1967,12/14/66,9,163
1967,12/14/66,3,192
1967,12/14/66,1,193
1967,12/14/66,10,204
1967,2/8/67,5,122
1967,2/8/67,4,134
1967,2/8/67,8,137
1967,2/8/67,6,151
1967,2/8/67,1,152
1967,2/8/67,2,192
1967,2/8/67,3,193
1967,2/8/67,7,200
1967,2/8/67,9,204
1967,2/8/67,10,288
1967,3/8/67,6,86
1967,3/8/67,7,122
1967,3/8/67,8,134
1967,3/8/67,4,151
1967,3/8/67,2,152
1967,3/8/67,10,166
1967,3/8/67,1,192
1967,3/8/67,3,193
1967,3/8/67,5,200
1967,3/8/67,9,204
1967,3/22/67,10,63
1967,3/22/67,9,86
1967,3/22/67,4,122
1967,3/22/67,5,134
1967,3/22/67,6,151
1967,3/22/67,2,152
1967,3/22/67,7,166
1967,3/22/67,1,192
1967,3/22/67,3,193
1967,3/22/67,8,200
1968,12/13/67,5,122
1968,12/13/67,10,134
1968,12/13/67,9,137
1968,12/13/67,1,151
1968,12/13/67,4,152
1968,12/13/67,7,166
1968,12/13/67,2,192
1968,12/13/67,3,193
1968,12/13/67,8,200
1968,12/13/67,6,204
1968,2/7/68,2,122
1968,2/7/68,6,151
1968,2/7/68,4,152
1968,2/7/68,7,166
1968,2/7/68,9,187
1968,2/7/68,3,192
1968,2/7/68,1,193
1968,2/7/68,10,197
1968,2/7/68,8,200
1968,2/7/68,5,204
1968,3/6/68,3,122
1968,3/6/68,8,151
1968,3/6/68,7,152
1968,3/6/68,4,166
1968,3/6/68,9,187
1968,3/6/68,2,192
1968,3/6/68,1,193
1968,3/6/68,10,197
1968,3/6/68,6,200
1968,3/6/68,5,204
1968,3/20/68,4,122
1968,3/20/68,8,151
1968,3/20/68,3,152
1968,3/20/68,5,166
1968,3/20/68,9,187
1968,3/20/68,1,192
1968,3/20/68,2,193
1968,3/20/68,10,197
1968,3/20/68,6,200
1968,3/20/68,7,204
1969,12/11/68,9,25
1969,12/11/68,10,31
1969,12/11/68,5,121
1969,12/11/68,2,122
1969,12/11/68,6,151
1969,12/11/68,4,152
1969,12/11/68,8,166
1969,12/11/68,1,192
1969,12/11/68,3,193
1969,12/11/68,7,197
1969,2/5/69,10,31
1969,2/5/69,5,121
1969,2/5/69,4,122
1969,2/5/69,9,137
1969,2/5/69,7,151
1969,2/5/69,3,152
1969,2/5/69,6,166
1969,2/5/69,8,182
1969,2/5/69,1,192
1969,2/5/69,2,193
1969,3/5/69,7,31
1969,3/5/69,5,121
1969,3/5/69,2,122
1969,3/5/69,9,137
1969,3/5/69,10,148
1969,3/5/69,4,152
1969,3/5/69,8,166
1969,3/5/69,6,182
1969,3/5/69,1,192
1969,3/5/69,3,193
1969,3/26/69,6,31
1969,3/26/69,10,121
1969,3/26/69,4,122
1969,3/26/69,8,148
1969,3/26/69,2,152
1969,3/26/69,5,166
1969,3/26/69,1,192
1969,3/26/69,3,193
1969,3/26/69,7,197
1969,3/26/69,9,252
1970,11/5/69,8,31
1970,11/5/69,6,121
1970,11/5/69,1,122
1970,11/5/69,7,151
1970,11/5/69,4,152
1970,11/5/69,10,166
1970,11/5/69,5,192
1970,11/5/69,3,193
1970,11/5/69,9,196
1970,11/5/69,2,197
1970,2/4/70,6,31
1970,2/4/70,5,121
1970,2/4/70,1,122
1970,2/4/70,10,134
1970,2/4/70,3,152
1970,2/4/70,8,166
1970,2/4/70,7,192
1970,2/4/70,2,193
1970,2/4/70,4,197
1970,2/4/70,9,261
1970,3/4/70,5,121
1970,3/4/70,2,122
1970,3/4/70,3,152
1970,3/4/70,10,166
1970,3/4/70,7,192
1970,3/4/70,1,193
1970,3/4/70,4,197
1970,3/4/70,6,200
1970,3/4/70,9,204
1970,3/4/70,8,261
1970,3/25/70,7,121
1970,3/25/70,1,122
1970,3/25/70,3,152
1970,3/25/70,5,166
1970,3/25/70,8,192
1970,3/25/70,2,193
1970,3/25/70,4,197
1970,3/25/70,6,200
1970,3/25/70,10,204
1970,3/25/70,9,261
1971,11/4/70,7,121
1971,11/4/70,4,122
1971,11/4/70,2,152
1971,11/4/70,9,191
1971,11/4/70,5,192
1971,11/4/70,1,193
1971,11/4/70,3,197
1971,11/4/70,8,204
1971,11/4/70,10,248
1971,11/4/70,6,261
1971,2/3/71,4,121
1971,2/3/71,1,122
1971,2/3/71,5,152
1971,2/3/71,8,191
1971,2/3/71,10,192
1971,2/3/71,2,193
1971,2/3/71,6,197
1971,2/3/71,9,200
1971,2/3/71,7,204
1971,2/3/71,3,261
1971,3/3/71,3,31
1971,3/3/71,6,121
1971,3/3/71,1,122
1971,3/3/71,7,151
1971,3/3/71,5,152
1971,3/3/71,9,166
1971,3/3/71,2,193
1971,3/3/71,4,197
1971,3/3/71,10,200
1971,3/3/71,8,261
1972,3/11/71,10,2
1972,3/11/71,1,122
1972,3/11/71,8,151
1972,3/11/71,2,152
1972,3/11/71,7,166
1972,3/11/71,5,192
1972,3/11/71,4,193
1972,3/11/71,6,197
1972,3/11/71,9,200
1972,3/11/71,3,261
1971,3/24/71,1,122
1971,3/24/71,6,134
1971,3/24/71,3,152
1971,3/24/71,10,166
1971,3/24/71,9,191
1971,3/24/71,7,192
1971,3/24/71,2,193
1971,3/24/71,5,197
1971,3/24/71,8,204
1971,3/24/71,4,261
1972,2/5/72,10,120
1972,2/5/72,5,121
1972,2/5/72,1,122
1972,2/5/72,2,152
1972,2/5/72,9,183
1972,2/5/72,6,192
1972,2/5/72,4,193
1972,2/5/72,8,197
1972,2/5/72,7,200
1972,2/5/72,3,261
1972,3/11/72,9,121
1972,3/11/72,1,122
1972,3/11/72,3,152
1972,3/11/72,6,166
1972,3/11/72,10,191
1972,3/11/72,5,192
1972,3/11/72,2,193
1972,3/11/72,7,197
1972,3/11/72,8,200
1972,3/11/72,4,261
1973,12/9/72,10,8
1973,12/9/72,6,121
1973,12/9/72,1,122
1973,12/9/72,9,151
1973,12/9/72,4,152
1973,12/9/72,3,192
1973,12/9/72,5,193
1973,12/9/72,2,197
1973,12/9/72,8,200
1973,12/9/72,7,261
1973,1/27/73,5,121
1973,1/27/73,1,122
1973,1/27/73,6,151
1973,1/27/73,8,152
1973,1/27/73,9,166
1973,1/27/73,7,192
1973,1/27/73,3,193
1973,1/27/73,4,197
1973,1/27/73,10,200
1973,1/27/73,2,261
1973,2/24/73,9,25
1973,2/24/73,7,121
1973,2/24/73,1,122
1973,2/24/73,5,151
1973,2/24/73,8,152
1973,2/24/73,10,155
1973,2/24/73,6,192
1973,2/24/73,3,193
1973,2/24/73,2,197
1973,2/24/73,4,261
1973,3/10/73,8,121
1973,3/10/73,1,122
1973,3/10/73,4,151
1973,3/10/73,10,166
1973,3/10/73,7,192
1973,3/10/73,2,193
1973,3/10/73,3,197
1973,3/10/73,6,200
1973,3/10/73,5,261
1973,3/10/73,9,280
1974,12/8/73,8,56
1974,12/8/73,7,121
1974,12/8/73,3,122
1974,12/8/73,1,151
1974,12/8/73,9,152
1974,12/8/73,4,192
1974,12/8/73,5,193
1974,12/8/73,6,197
1974,12/8/73,10,200
1974,12/8/73,2,280
1974,2/2/74,10,25
1974,2/2/74,7,56
1974,2/2/74,3,121
1974,2/2/74,1,151
1974,2/2/74,5,152
1974,2/2/74,9,155
1974,2/2/74,6,192
1974,2/2/74,2,193
1974,2/2/74,8,200
1974,2/2/74,4,280
1974,2/23/74,7,56
1974,2/23/74,2,121
1974,2/23/74,6,122
1974,2/23/74,1,151
1974,2/23/74,3,152
1974,2/23/74,10,166
1974,2/23/74,5,192
1974,2/23/74,4,193
1974,2/23/74,8,200
1974,2/23/74,9,280
1974,3/16/74,7,56
1974,3/16/74,1,121
1974,3/16/74,4,122
1974,3/16/74,2,151
1974,3/16/74,8,152
1974,3/16/74,5,192
1974,3/16/74,3,193
1974,3/16/74,9,197
1974,3/16/74,6,261
1974,3/16/74,10,280
1975,12/7/74,10,25
1975,12/7/74,9,56
1975,12/7/74,4,121
1975,12/7/74,3,122
1975,12/7/74,8,134
1975,12/7/74,7,152
1975,12/7/74,2,192
1975,12/7/74,1,193
1975,12/7/74,5,200
1975,12/7/74,6,222
1975,1/18/75,10,25
1975,1/18/75,7,31
1975,1/18/75,1,121
1975,1/18/75,2,122
1975,1/18/75,9,134
1975,1/18/75,6,152
1975,1/18/75,8,166
1975,1/18/75,5,192
1975,1/18/75,3,193
1975,1/18/75,4,280
1975,1/25/75,7,31
1975,1/25/75,1,121
1975,1/25/75,4,122
1975,1/25/75,6,134
1975,1/25/75,9,152
1975,1/25/75,8,166
1975,1/25/75,5,192
1975,1/25/75,3,193
1975,1/25/75,10,204
1975,1/25/75,2,280
1975,1/31/75,1,121
1975,1/31/75,5,122
1975,1/31/75,6,134
1975,1/31/75,10,152
1975,1/31/75,7,166
1975,1/31/75,4,192
1975,1/31/75,2,193
1975,1/31/75,8,196
1975,1/31/75,9,204
1975,1/31/75,3,280
1975,2/8/75,1,121
1975,2/8/75,5,122
1975,2/8/75,6,134
1975,2/8/75,10,152
1975,2/8/75,7,166
1975,2/8/75,4,192
1975,2/8/75,2,193
1975,2/8/75,8,196
1975,2/8/75,9,204
1975,2/8/75,3,280
1975,2/15/75,1,121
1975,2/15/75,5,122
1975,2/15/75,6,134
1975,2/15/75,8,152
1975,2/15/75,7,166
1975,2/15/75,4,192
1975,2/15/75,2,193
1975,2/15/75,9,196
1975,2/15/75,10,204
1975,2/15/75,3,280
1975,2/22/75,9,31
1975,2/22/75,1,121
1975,2/22/75,5,122
1975,2/22/75,6,134
1975,2/22/75,7,166
1975,2/22/75,4,192
1975,2/22/75,2,193
1975,2/22/75,8,196
1975,2/22/75,10,200
1975,2/22/75,3,280
1975,2/28/75,9,31
1975,2/28/75,1,121
1975,2/28/75,5,122
1975,2/28/75,6,134
1975,2/28/75,8,166
1975,2/28/75,4,192
1975,2/28/75,2,193
1975,2/28/75,7,196
1975,2/28/75,10,222
1975,2/28/75,3,280
1975,3/8/75,10,25
1975,3/8/75,7,31
1975,3/8/75,2,121
1975,3/8/75,3,122
1975,3/8/75,4,134
1975,3/8/75,9,166
1975,3/8/75,5,192
1975,3/8/75,1,193
1975,3/8/75,8,196
1975,3/8/75,6,280
1975,3/15/75,10,25
1975,3/15/75,7,31
1975,3/15/75,2,121
1975,3/15/75,3,122
1975,3/15/75,4,134
1975,3/15/75,9,166
1975,3/15/75,5,192
1975,3/15/75,1,193
1975,3/15/75,8,196
1975,3/15/75,6,280
1976,12/13/75,1,121
1976,12/13/75,2,122
1976,12/13/75,6,134
1976,12/13/75,7,151
1976,12/13/75,10,155
1976,12/13/75,5,192
1976,12/13/75,4,193
1976,12/13/75,8,197
1976,12/13/75,9,200
1976,12/13/75,3,280
1976,1/17/76,10,31
1976,1/17/76,1,121
1976,1/17/76,2,122
1976,1/17/76,8,134
1976,1/17/76,9,155
1976,1/17/76,7,192
1976,1/17/76,3,193
1976,1/17/76,6,197
1976,1/17/76,5,200
1976,1/17/76,4,280
1976,1/24/76,7,31
1976,1/24/76,8,56
1976,1/24/76,1,121
1976,1/24/76,2,122
1976,1/24/76,10,134
1976,1/24/76,6,192
1976,1/24/76,3,193
1976,1/24/76,9,197
1976,1/24/76,4,200
1976,1/24/76,5,280
1976,1/31/76,7,31
1976,1/31/76,8,56
1976,1/31/76,1,121
1976,1/31/76,2,122
1976,1/31/76,10,134
1976,1/31/76,6,192
1976,1/31/76,3,193
1976,1/31/76,9,197
1976,1/31/76,4,200
1976,1/31/76,5,280
1976,2/7/76,8,9
1976,2/7/76,6,31
1976,2/7/76,1,121
1976,2/7/76,2,122
1976,2/7/76,10,166
1976,2/7/76,7,192
1976,2/7/76,3,193
1976,2/7/76,9,197
1976,2/7/76,5,200
1976,2/7/76,4,280
1976,2/14/76,10,9
1976,2/14/76,8,31
1976,2/14/76,1,121
1976,2/14/76,2,122
1976,2/14/76,6,166
1976,2/14/76,5,192
1976,2/14/76,3,193
1976,2/14/76,9,197
1976,2/14/76,7,200
1976,2/14/76,4,280
1976,2/21/76,8,31
1976,2/21/76,2,121
1976,2/21/76,1,122
1976,2/21/76,6,134
1976,2/21/76,7,166
1976,2/21/76,4,192
1976,2/21/76,3,193
1976,2/21/76,9,197
1976,2/21/76,10,200
1976,2/21/76,5,280
