Season,Date,Teams Ranked,NWCA
2007,2/20/07,25,TRUE
2007,2/13/07,25,TRUE
2007,2/6/07,25,TRUE
2007,1/30/07,25,TRUE
2007,1/23/07,25,TRUE
2007,1/17/07,25,TRUE
2007,1/9/07,25,TRUE
2007,1/3/07,25,TRUE
2007,12/19/06,25,TRUE
2007,12/12/06,25,TRUE
2007,12/5/06,25,TRUE
2007,11/28/06,25,TRUE
2007,10/20/06,25,FALSE
2006,3/8/06,25,TRUE
2006,2/21/06,25,TRUE
2006,2/14/06,25,TRUE
2006,2/7/06,25,TRUE
2006,1/31/06,25,TRUE
2006,1/24/06,25,TRUE
2006,1/17/06,25,TRUE
2006,1/10/06,25,TRUE
2006,1/3/06,25,TRUE
2006,12/20/05,25,TRUE
2006,12/13/05,25,TRUE
2006,12/6/05,25,TRUE
2006,11/30/05,25,TRUE
2006,10/27/05,25,FALSE
2005,2/23/05,25,TRUE
2005,2/16/05,25,TRUE
2005,2/9/05,25,TRUE
2005,2/2/05,25,TRUE
2005,1/25/05,25,TRUE
2005,1/19/05,25,TRUE
2005,1/11/05,25,TRUE
2005,1/4/05,25,TRUE
2005,12/15/04,25,TRUE
2005,12/7/04,25,TRUE
2005,12/1/04,25,TRUE
2005,10/20/04,25,FALSE
2004,3/19/04,10,FALSE
2004,3/11/04,20,TRUE
2004,2/24/04,25,TRUE
2004,2/11/04,25,TRUE
2004,2/4/04,25,TRUE
2004,1/28/04,24,TRUE
2004,1/21/04,25,TRUE
2004,1/13/04,25,TRUE
2004,1/7/04,25,TRUE
2004,12/17/03,27,TRUE
2004,12/10/03,25,TRUE
2004,12/3/03,23,TRUE
2004,11/26/03,10,TRUE
2004,11/7/03,25,FALSE
2003,3/17/03,10,FALSE
2003,3/4/03,20,TRUE
2003,2/18/03,25,TRUE
2003,2/12/03,10,TRUE
2003,2/5/03,25,TRUE
2003,1/28/03,10,TRUE
2003,1/22/03,25,TRUE
2003,1/15/03,10,TRUE
2003,1/9/03,25,TRUE
2003,12/17/02,10,TRUE
2003,11/7/02,25,FALSE
2002,3/18/02,10,FALSE
2002,3/14/02,25,TRUE
2002,3/7/02,25,TRUE
2002,2/27/02,25,TRUE
2002,2/22/02,25,TRUE
2002,2/13/02,25,TRUE
2002,2/6/02,25,TRUE
2002,1/30/02,25,TRUE
2002,1/23/02,25,TRUE
2002,1/16/02,25,TRUE
2002,1/9/02,25,TRUE
2002,12/19/01,25,TRUE
2002,12/12/01,25,TRUE
2002,12/5/01,25,TRUE
2002,11/9/01,10,FALSE
2001,3/12/01,10,FALSE
2001,12/20/00,25,TRUE
2001,12/13/00,25,TRUE
2001,12/6/00,25,TRUE
2001,11/13/00,10,FALSE
2000,3/13/00,10,FALSE
2000,3/1/00,25,TRUE
2000,2/23/00,25,TRUE
2000,2/16/00,25,TRUE
2000,2/9/00,25,TRUE
2000,2/2/00,25,TRUE
2000,1/26/00,25,TRUE
2000,1/13/00,25,TRUE
2000,1/6/00,25,TRUE
2000,12/15/99,25,TRUE
2000,11/12/99,10,FALSE
1999,3/15/99,10,FALSE
1999,2/24/99,25,TRUE
1999,2/17/99,25,TRUE
1999,2/10/99,25,TRUE
1999,2/3/99,25,TRUE
1999,1/27/99,25,TRUE
1999,1/20/99,25,TRUE
1999,1/13/99,25,TRUE
1999,1/7/99,25,TRUE
1999,12/16/98,25,TRUE
1999,12/10/98,25,TRUE
1999,12/3/98,25,TRUE
1999,11/9/98,10,FALSE
1998,3/20/98,10,FALSE
1998,3/4/98,25,TRUE
1998,2/26/98,25,TRUE
1998,2/19/98,25,TRUE
1998,2/12/98,25,TRUE
1998,2/5/98,25,TRUE
1998,1/29/98,25,TRUE
1998,1/22/98,25,TRUE
1998,1/15/98,25,TRUE
1998,1/8/98,25,TRUE
1998,12/18/97,25,TRUE
1998,12/11/97,25,TRUE
1998,12/4/97,25,FALSE
1998,11/7/97,10,FALSE
1997,3/20/97,10,FALSE
1997,2/26/97,25,TRUE
1997,2/19/97,25,TRUE
1997,2/12/97,24,TRUE
1997,2/5/97,25,TRUE
1997,1/29/97,25,TRUE
1997,1/22/97,25,TRUE
1997,1/15/97,25,TRUE
1997,1/8/97,25,TRUE
1997,12/18/96,25,TRUE
1997,12/4/96,25,TRUE
1997,11/7/96,10,FALSE
1996,3/21/96,20,FALSE
1996,3/4/96,25,TRUE
1996,2/19/96,25,TRUE
1996,2/5/96,25,TRUE
1996,1/22/96,25,TRUE
1996,12/26/95,25,TRUE
1996,11/20/95,20,FALSE
1995,3/17/95,20,FALSE
1995,3/6/95,25,TRUE
1995,2/27/95,25,TRUE
1995,2/6/95,25,TRUE
1995,1/23/95,25,TRUE
1995,12/19/94,25,TRUE
1995,11/21/94,20,FALSE
1994,3/17/94,20,FALSE
1994,3/7/94,25,TRUE
1994,2/21/94,25,TRUE
1994,2/3/94,25,TRUE
1994,1/17/94,25,TRUE
1994,12/17/93,25,TRUE
1994,11/22/93,20,FALSE
1993,3/18/93,20,FALSE
1993,3/10/93,25,TRUE
1993,3/1/93,25,TRUE
1993,2/15/93,25,TRUE
1993,2/1/93,25,TRUE
1993,1/18/93,25,TRUE
1993,12/21/92,25,TRUE
1993,11/23/92,20,FALSE
1992,3/18/92,20,FALSE
1992,3/4/92,25,TRUE
1992,2/12/92,25,TRUE
1992,1/29/92,25,TRUE
1992,1/15/92,25,TRUE
1992,12/18/91,25,TRUE
1992,12/4/91,25,TRUE
1992,11/18/91,20,FALSE
1991,3/14/91,20,FALSE
1991,3/11/91,25,TRUE
1991,3/4/91,25,TRUE
1991,2/18/91,25,TRUE
1991,2/4/91,25,TRUE
1991,1/14/91,25,TRUE
1991,12/17/90,25,TRUE
1991,11/19/90,20,FALSE
2003,11/26/02,25,TRUE
2007,3/7/07,25,TRUE
2007,3/16/07,20,FALSE
