wrestler_number,wrestler,hofid,all_american,transfer,division_i,division_ii,division_iii,naia,njcaa,eiwa,big_10,big_12,high_school,state
1,"Abas, Stephen",2118,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Union City James Logan,5
2,"Eustice, Luke",4359,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Blue Earth,24
3,"Fleeger, Chris",2375,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Loyalsock,39
4,"Vombaur, Ben",4360,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Evergreen,49
5,"Powell, Jason",2336,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Midwest City Choctaw,37
6,"Holman, Skyler",2147,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Borken Arrow,37
7,"Lee, Travis",4361,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Honolulu St. Louis,12
8,"Rodrigues, Chris",4362,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Walker School,11
9,"Bunch, Shawn",5428,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Leavenworth,17
10,"Noto, Tom",9349,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
