School ID,HOF ID,School,Current Division,Active,City,State ID,First Tournament,Last Tournament,Total Tournaments,Participants,Champs,AAs,Wins,Losses,Falls,Points
1,1,Adams State,2,TRUE,Alamosa,6,1959,1969,8,35,1,3,26,40,2,47
2,371,Air Force,1,TRUE,Colorado Springs,6,1961,2013,48,134,1,11,111,200,14,136
3,555,Akron,1,FALSE,Akron,36,1959,1965,2,2,0,0,0,2,0,0
4,556,Alabama,1,FALSE,Tuscaloosa,2,1969,1979,10,21,0,0,10,24,1,11.25
5,6,Allegheny,3,FALSE,Meadville,39,1980,1983,3,3,0,0,0,5,0,0
6,557,American,1,TRUE,Washington,8,1973,2013,23,60,1,16,105,111,19,18.5
7,7,Appalachian State,1,TRUE,Boone,28,1939,2013,41,113,0,8,98,188,7,89.5
8,381,Arizona,1,FALSE,Tucson,4,1963,1981,17,41,0,6,55,51,6,93
9,9,Arizona State,1,TRUE,Tempe,4,1963,2013,48,281,10,112,692,474,81,1247.5
10,377,Army,1,TRUE,West Point,35,1933,2013,56,157,2,19,163,239,31,218.25
11,11,Ashland,2,TRUE,Ashland,36,1967,1989,9,11,0,0,10,17,0,6
12,14,Auburn,1,FALSE,Auburn,2,1949,1981,19,61,1,8,56,82,6,70.75
13,15,Augsburg,3,TRUE,Minneapolis,24,1983,1990,5,7,0,0,3,10,1,4
14,16,Augustana Illinois,3,TRUE,Rock Island,15,1962,1984,6,8,0,0,3,9,0,3
15,558,Augustana SD,2,TRUE,Sioux Falls,43,1977,1989,10,17,0,3,23,27,8,27.75
16,18,Baldwin Wallace,3,TRUE,Berea,36,1955,1989,5,6,0,0,1,7,0,0
17,19,Ball State,1,FALSE,Muncie,16,1960,1982,16,34,0,1,18,42,2,20.25
18,559,Maryland-Baltimore,2,FALSE,Baltimore,21,1957,1960,2,2,0,0,0,2,0,0
19,29,Bloomsburg,1,TRUE,Bloomsburg,39,1959,2013,50,206,4,23,275,352,39,371.5
20,32,Boise State,1,TRUE,Boise,14,1972,2013,42,199,2,29,300,347,38,308.25
21,491,Boston College,1,FALSE,Boston,20,1982,2001,10,16,0,1,10,20,4,22.5
22,34,Boston University,1,TRUE,Boston,20,1973,2013,38,122,0,4,84,205,10,97
23,560,Bowling Green,1,FALSE,Bowling Green,36,1959,1982,15,30,0,0,8,35,0,8.75
24,561,Bradley,,FALSE,Peoria,15,1959,1959,1,1,0,0,1,2,0,1
25,36,Brigham Young,1,FALSE,Provo,46,1949,2000,42,202,0,21,213,289,30,358
26,489,Brown,1,TRUE,Providence,41,1930,2013,38,85,0,3,61,145,13,83.25
27,39,Bucknell,1,TRUE,Lewisburg,39,1948,2013,33,75,0,8,80,131,12,67.75
28,40,Buena Vista,3,FALSE,Storm Lake,13,1989,1989,1,1,0,0,0,1,0,0
29,89,C.W. Post,2,FALSE,Brookville,35,1964,1981,4,4,0,0,2,5,1,3
30,562,Cal Poly-Pomona,,FALSE,Pomona,5,1969,1970,2,5,0,0,0,5,0,0
31,43,Cal Poly-SLO,1,TRUE,San Luis Obispo,5,1949,2013,54,244,2,46,387,392,45,522
32,44,Cal State-Bakersfield,1,TRUE,Bakersfield,5,1974,2013,40,184,9,44,345,311,44,572.5
33,563,Cal State-Chico,2,FALSE,Chico,5,1961,1978,3,3,0,0,0,4,0,0
34,46,Cal State-Fullerton,1,TRUE,Fullerton,5,1973,2010,33,86,0,9,97,156,11,128.75
35,145,Humboldt State,2,FALSE,Arcata,5,1972,1989,9,10,0,0,3,12,1,3
36,564,Long Beach State,2,FALSE,Long Beach,5,1960,1978,11,18,0,0,8,20,2,9.5
37,565,Cal State-Los Angeles,,FALSE,Los Angeles,5,1969,1972,2,2,0,0,0,2,0,0
38,386,California-Santa Barbara,1,FALSE,Santa Barbara,5,1970,1977,6,7,0,1,6,8,1,19
39,47,California PA,1,FALSE,California,39,1971,1995,10,18,0,4,23,31,0,15.5
40,383,California-Berkeley,1,FALSE,Berkeley,5,1949,1979,20,63,1,3,35,81,7,45.5
41,384,California-Davis,1,TRUE,Davis,5,1969,2010,16,40,1,1,38,74,4,14
42,566,Campbell,1,TRUE,Buies Creek,28,1987,2013,9,11,0,0,7,20,1,7.5
43,567,Carleton,,FALSE,Northfield,24,1951,1960,5,14,0,0,3,17,0,3
45,568,Central Connecticut,1,FALSE,New Britain,7,1987,1995,8,29,0,0,14,48,2,13.5
46,569,Central Florida,2,FALSE,Orlando,10,1986,1986,1,1,0,0,1,2,0,1.5
47,570,Central College IA,3,TRUE,Pella,13,1985,1987,2,2,0,0,1,3,0,0
48,53,Central Michigan,1,TRUE,Mount Pleasant,23,1959,2013,45,186,1,44,325,349,34,281.25
49,55,Central Missouri,2,TRUE,Warrensburg,25,1966,1990,4,4,0,0,5,7,0,0
50,56,Central Washington,2,FALSE,Ellensburg,49,1968,1968,1,1,0,1,4,1,1,14
51,571,Cheyney,2,FALSE,Cincinnati,39,1991,1991,1,1,0,0,0,1,0,0
52,488,Chicago State,1,FALSE,Chicago,15,1987,1998,4,4,0,1,5,7,1,9.5
53,388,Chicago University,3,TRUE,Chicago,15,1928,1962,8,14,0,2,8,16,0,5
54,572,Cincinnati,1,FALSE,Cincinnati,36,1962,1977,8,13,0,0,3,14,0,3
55,61,Citadel,1,TRUE,Charleston,42,1961,2013,32,58,0,3,38,93,8,16.5
56,64,Clarion,1,TRUE,Clarion,39,1968,2013,45,184,8,46,331,295,43,648.75
57,65,Clemson,1,FALSE,Clemson,42,1978,1995,18,59,3,8,67,91,3,170
58,487,Cleveland State,1,TRUE,Cleveland,36,1972,2013,39,114,0,4,104,189,10,112
59,573,Coast Guard,3,TRUE,New London,7,1956,1968,8,12,0,0,6,15,3,9
60,574,Coe College,3,TRUE,Cedar Rapids,13,1962,1965,2,2,0,0,1,2,0,1
61,72,Colgate,1,FALSE,Hamilton,35,1955,1980,7,9,0,1,6,11,1,14.5
62,575,University of the South,2,FALSE,Sewanee,44,1956,1960,2,2,0,0,0,2,0,0
63,389,Colorado,1,FALSE,Boulder,6,1938,1980,32,118,3,18,123,152,14,213
64,76,Colorado Mines,2,TRUE,Golden,6,1949,1989,9,17,0,2,17,23,0,21
65,77,Colorado State,1,FALSE,Fort Collins,6,1939,1984,38,137,1,18,122,173,24,166.5
66,79,Columbia,1,TRUE,New York,35,1933,2013,31,55,0,6,51,98,8,21
67,81,Concordia MN,3,TRUE,Moorhead,24,1978,1978,1,2,0,0,2,3,0,0
68,576,Connecticut,1,FALSE,Storrs,7,1975,1980,3,3,0,0,3,4,1,3.5
69,577,Coppin State,,FALSE,Baltimore,21,1987,2001,8,10,0,0,2,18,0,2
70,84,Cornell,1,TRUE,Ithaca,35,1929,2013,48,205,16,66,433,339,56,296.25
71,83,Cornell Iowa,3,TRUE,Mount Vernon,13,1928,1990,32,131,6,28,135,165,36,143
72,578,Dartmouth,1,FALSE,Hanover,31,1958,1976,6,8,0,0,1,9,0,1
73,579,Davidson,1,TRUE,Davidson,28,1935,2013,13,22,0,0,2,28,1,2
74,495,Delaware,1,FALSE,Newark,9,1960,1987,14,19,0,1,15,28,0,19
75,580,Delaware State,1,FALSE,Dover,9,1987,2009,9,11,0,0,1,20,0,0
76,94,Delaware Valley,3,TRUE,Doylestown,39,1986,1989,2,3,0,0,1,4,0,2
77,581,Denison,2,FALSE,Granville,36,1960,1965,2,2,0,0,0,2,0,0
78,390,Denver,1,FALSE,Denver,6,1928,1962,7,9,0,1,4,11,1,4
79,582,DePauw,,FALSE,Greencastle,16,1959,1959,1,2,0,0,0,3,0,0
80,583,Drake,,FALSE,Des Moines,13,1967,1993,24,66,0,0,32,88,5,37.5
81,584,Drexel,1,TRUE,Philadelphia,39,1957,2013,30,68,0,2,41,117,3,16
82,391,Dubuque,3,TRUE,Dubuque,13,1940,1979,3,6,0,0,4,7,1,3
83,585,Duke,1,TRUE,Durham,28,1955,2013,29,49,0,2,37,83,5,29.5
84,586,Duquesne,1,TRUE,Pittsburgh,39,1973,2009,18,38,0,0,10,73,2,7
85,100,East Carolina,1,FALSE,Greenville,28,1971,1981,11,45,0,1,26,55,2,29.5
86,101,East Stroudsburg,1,TRUE,East Stroudsburg,39,1935,2009,27,68,2,11,89,94,9,153
87,102,Eastern Illinois,1,FALSE,Charleston,15,1969,2007,34,88,0,14,111,158,25,117.5
88,587,Eastern Kentucky,,FALSE,Richmond,18,1969,1972,3,5,0,0,0,6,0,0
89,103,Eastern Michigan,1,TRUE,Ypsilanti,23,1976,2013,28,49,0,4,51,90,9,54.5
90,105,Eastern Washington,2,FALSE,Cheney,49,1988,1989,2,2,0,0,0,3,0,0
91,107,Edinboro,1,TRUE,Edinboro,39,1985,2013,29,179,4,53,389,332,44,491.25
92,109,Elizabethtown,3,TRUE,Elizabethtown,39,1974,1977,2,2,0,0,2,2,1,0
93,588,Fairleigh Dickinson,,FALSE,Madison,32,1960,1970,5,8,0,0,1,9,0,1
94,112,Ferris State,2,FALSE,Big Rapids,23,1987,1991,3,4,0,0,3,5,0,0
95,496,Florida,1,FALSE,Gainsville,10,1972,1979,8,25,0,1,23,34,6,32
96,589,Florida International,2,FALSE,Miami,10,1980,1980,1,1,0,0,0,1,0,0
97,117,Franklin & Marshall,1,TRUE,Lancaster,39,1933,2013,38,76,0,9,71,105,17,80
98,45,Fresno State,1,TRUE,Fresno,5,1962,2006,37,138,4,29,230,230,22,424.5
99,590,Furman,,FALSE,Greenville,42,1991,1991,1,1,0,0,0,2,0,0
100,123,George Mason,1,TRUE,Fairfax,47,1982,2013,27,66,0,4,47,123,7,65
101,124,George Washington,1,FALSE,Washington,8,1969,1989,7,7,0,1,7,10,1,17.5
102,591,Georgia,1,FALSE,Athens,11,1964,1980,6,9,0,0,3,11,2,5
103,592,Georgia State,1,FALSE,Atlanta,11,1995,1998,4,10,0,0,10,19,2,12.5
104,126,Georgia Tech,1,FALSE,Atlanta,11,1949,1981,11,14,0,1,8,20,1,10
105,127,Gettysburg,3,TRUE,Gettysburg,39,1935,1976,11,15,0,2,16,18,4,32
106,593,Rowan,,FALSE,Glassboro,32,1986,1986,1,1,0,0,1,2,0,2
107,134,Grand Valley State,2,FALSE,Allendale,23,1979,1990,6,6,0,3,14,12,3,5.5
108,594,Grinnell,,FALSE,Grinnell,13,1956,1960,2,2,0,0,0,2,0,0
109,595,Gustavus Adolphus,2,FALSE,St. Peter,24,1957,1968,3,3,0,0,1,4,0,1
