Season,Wrestler Number,School ID
1928,8867,71
1928,8891,116
1928,8918,116
1928,8942,118
1928,8946,121
1928,8954,122
1928,8960,122
1928,8961,122
1928,8971,297
1928,8973,297
1928,9008,151
1928,9011,151
1928,9021,151
1928,9097,187
1928,9102,190
1928,9120,192
1928,9122,192
1928,9147,193
1928,9148,193
1928,9158,193
1928,9170,193
1928,9177,193
1928,9187,193
1928,9257,299
1928,9417,78
1928,9418,71
1928,9419,122
1928,9420,190
1928,9421,321
1928,9422,116
1928,9423,71
1928,9424,184
1928,9425,297
1928,9426,151
1928,9427,122
1928,9428,53
1928,9429,71
1928,9430,122
1928,9431,122
1928,9432,193
1928,10555,155
1929,8849,53
1929,8859,70
1929,8906,116
1929,8911,116
1929,8952,121
1929,8956,122
1929,9009,151
1929,9011,151
1929,9013,151
1929,9019,151
1929,9023,151
1929,9097,187
1929,9101,190
1929,9120,192
1929,9122,192
1929,9126,192
1929,9140,193
1929,9144,193
1929,9158,193
1929,9170,193
1929,9189,193
1929,9199,193
1929,9204,193
1929,9226,206
1929,9269,270
1929,9272,280
1929,9273,280
1929,9275,280
1929,10376,305
1929,10465,209
1929,10468,209
1929,10481,53
1929,10491,128
1929,10492,167
1929,10493,280
1929,10494,191
1929,10495,167
1929,10496,71
1929,10497,270
1929,10498,191
1929,10499,258
1929,10500,200
1929,10501,280
1929,10502,70
1929,10503,53
1929,10504,209
1929,10505,191
1929,10506,190
1929,10507,190
1929,10508,53
1929,10509,147
1929,10510,280
1929,10511,151
1929,10512,206
1929,10513,71
1929,10547,305
1929,10548,151
1929,10549,193
1929,10551,320
1929,10552,209
1929,10553,358
1930,8783,122
1930,8848,295
1930,8849,53
1930,8868,71
1930,8884,110
1930,8888,116
1930,8890,116
1930,8891,116
1930,8911,116
1930,8923,118
1930,8956,122
1930,8970,297
1930,8976,127
1930,8977,127
1930,9013,151
1930,9052,158
1930,9053,159
1930,9101,190
1930,9102,190
1930,9106,192
1930,9120,192
1930,9121,192
1930,9122,192
1930,9144,193
1930,9146,193
1930,9170,193
1930,9173,193
1930,9180,193
1930,9192,193
1930,9197,193
1930,9199,193
1930,10365,242
1930,10372,256
1930,10376,305
1930,10377,110
1930,10384,242
1930,10386,132
1930,10391,187
1930,10422,192
1930,10429,152
1930,10439,118
1930,10441,192
1930,10446,71
1930,10447,128
1930,10448,200
1930,10449,313
1930,10450,187
1930,10451,258
1930,10452,200
1930,10453,209
1930,10454,26
1930,10455,256
1930,10456,159
1930,10457,152
1930,10458,200
1930,10459,118
1930,10460,242
1930,10461,116
1930,10462,256
1930,10463,209
1930,10464,209
1930,10465,209
1930,10466,270
1930,10467,265
1930,10468,209
1930,10469,122
1930,10470,200
1930,10471,128
1930,10473,110
1930,10474,297
1930,10475,209
1930,10476,313
1930,10477,151
1930,10478,270
1930,10479,209
1930,10480,242
1930,10481,53
1930,10482,265
1931,8849,53
1931,8868,71
1931,8885,296
1931,8956,122
1931,8959,122
1931,8967,122
1931,8975,127
1931,8976,127
1931,8977,127
1931,8982,127
1931,8991,134
1931,9000,134
1931,9009,151
1931,9027,152
1931,9057,166
1931,9070,184
1931,9091,184
1931,9098,187
1931,9144,193
1931,9149,193
1931,9157,193
1931,9173,193
1931,9180,193
1931,9199,193
1931,9204,193
1931,9424,184
1931,9931,313
1931,9932,26
1931,9942,187
1931,10356,193
1931,10357,229
1931,10358,134
1931,10359,26
1931,10360,313
1931,10361,207
1931,10362,152
1931,10363,242
1931,10364,26
1931,10365,242
1931,10366,211
1931,10367,110
1931,10368,159
1931,10369,229
1931,10370,26
1931,10371,305
1931,10372,256
1931,10373,229
1931,10374,274
1931,10375,187
1931,10376,305
1931,10377,110
1931,10378,26
1931,10379,313
1931,10380,134
1931,10381,159
1931,10383,151
1931,10384,242
1931,10385,256
1931,10386,132
1931,10387,256
1931,10388,26
1931,10389,242
1931,10390,296
1931,10391,187
1931,10392,313
1931,10393,262
1932,8863,71
1932,8868,71
1932,8885,296
1932,8893,116
1932,8895,116
1932,8909,116
1932,8923,118
1932,8931,118
1932,8935,118
1932,8936,118
1932,8939,118
1932,8945,120
1932,8959,122
1932,8965,122
1932,8972,297
1932,8998,134
1932,9009,151
1932,9057,166
1932,9073,184
1932,9098,187
1932,9105,191
1932,9121,192
1932,9162,193
1932,9173,193
1932,9180,193
1932,9184,193
1932,9237,298
1932,9249,298
1932,9251,298
1932,9913,184
1932,9918,191
1932,9928,184
1932,9936,193
1932,9942,187
1932,9949,298
1932,9954,191
1932,10081,71
1932,10362,152
1932,10363,242
1932,10380,134
1932,10391,187
1932,10402,152
1932,10406,298
1932,10414,305
1932,10415,187
1932,10416,118
1932,10417,122
1932,10418,166
1932,10419,192
1932,10420,229
1932,10421,166
1932,10422,192
1932,10423,305
1932,10424,187
1932,10425,298
1932,10426,229
1932,10427,120
1932,10428,158
1932,10429,152
1932,10430,192
1932,10431,151
1932,10432,122
1932,10433,71
1932,10434,166
1932,10435,78
1932,10436,192
1932,10437,184
1932,10438,305
1932,10439,118
1932,10440,127
1932,10441,192
1932,10442,187
1932,10443,191
1932,10444,78
1932,10445,152
1933,8879,97
1933,8882,110
1933,8895,116
1933,8909,116
1933,8926,118
1933,8928,118
1933,8931,118
1933,8935,118
1933,8944,118
1933,8945,120
1933,8958,122
1933,8959,122
1933,8965,122
1933,8989,134
1933,8994,134
1933,8997,134
1933,8998,134
1933,9115,192
1933,9131,192
1933,9151,193
1933,9153,193
1933,9162,193
1933,9181,193
1933,9237,298
1933,9248,298
1933,9249,298
1933,9251,298
1933,9260,256
1933,9901,122
1933,9902,97
1933,9903,232
1933,9904,159
1933,9905,134
1933,9906,270
1933,9907,191
1933,9908,97
1933,9909,10
1933,9910,184
1933,9911,313
1933,9912,313
1933,9913,184
1933,9914,159
1933,9915,10
1933,9916,262
1933,9917,132
1933,9918,191
1933,9919,134
1933,9920,128
1933,9921,301
1933,9922,193
1933,9923,66
1933,9924,270
1933,9925,192
1933,9926,132
1933,9927,97
1933,9928,184
1933,9929,262
1933,9930,128
1933,9931,313
1933,9932,26
1933,9933,118
1933,9934,191
1933,9935,242
1933,9936,193
1933,9937,128
1933,9938,205
1933,9939,270
1933,9940,118
1933,9941,26
1933,9942,187
1933,9943,110
1933,9944,175
1933,9945,134
1933,9946,270
1933,9947,242
1933,9948,66
1933,9949,298
1933,9950,26
1933,9951,242
1933,9952,134
1933,9954,191
1933,9955,132
1933,9956,128
1933,9957,209
1933,9958,209
1933,10403,296
1934,8844,295
1934,8845,295
1934,8846,295
1934,8863,71
1934,8879,97
1934,8893,116
1934,8924,118
1934,8926,118
1934,8928,118
1934,8936,118
1934,8944,118
1934,8989,134
1934,8997,134
1934,8999,134
